,0
0,1704.5681
1,7445.918
2,1629.8335
3,4877.98105
4,3561.8889
5,8605.3615
6,24520.264
7,45710.20785
8,15019.76005
9,6664.68595
10,20709.02034
11,40932.4295
12,9500.57305
13,40182.246
14,1137.4697
15,38511.6283
16,4670.64
17,13019.16105
18,4189.1131
19,38709.176
20,5594.8455
21,27346.04207
22,9788.8659
23,2362.22905
24,13224.693
25,12222.8983
26,4320.41085
27,12730.9996
28,2203.47185
29,6079.6715
30,3591.48
31,8596.8278
32,21771.3423
33,2927.0647
34,1708.0014
35,2803.69785
36,48517.56315
37,9282.4806
38,4738.2682
39,12269.68865
40,11879.10405
41,34166.273
42,6496.886
43,4751.07
44,8457.818
45,1639.5631
46,2566.4707
47,14455.64405
48,16577.7795
49,13457.9608
50,2721.3208
51,18218.16139
52,8615.3
53,9722.7695
54,14283.4594
55,21472.4788
56,5972.378
57,14711.7438
58,2128.43105
59,5438.7491
60,3935.1799
61,8534.6718
62,11884.04858
63,6837.3687
64,42983.4585
65,3925.7582
66,18903.49141
67,2117.33885
68,8283.6807
69,3366.6697
70,11833.7823
71,47928.03
72,17361.7661
73,9290.1395
74,42560.4304
75,13224.05705
76,4433.9159
77,9377.9047
78,3597.596
79,29141.3603
80,4562.8421
81,13616.3586
82,1837.237
83,26125.67477
84,3176.2877
85,25382.297
86,5662.225
87,2352.96845
88,40904.1995
89,5325.651
90,4883.866
91,30942.1918
92,1256.299
93,8606.2174
94,22493.65964
95,11552.904
96,3378.91
97,5124.1887
98,4837.5823
99,43254.41795
100,8269.044
101,43943.8761
102,37165.1638
103,5484.4673
104,9222.4026
105,1635.73365
106,2974.126
107,24059.68019
108,28468.91901
109,44260.7499
110,10959.33
111,1737.376
112,12323.936
113,2404.7338
114,7345.084
115,4040.55825
116,1837.2819
117,2902.9065
118,36219.40545
119,6640.54485
120,1607.5101
121,39871.7043
122,10807.4863
123,42856.838
124,11345.519
125,4462.7218
126,21595.38229
127,2257.47525
128,10118.424
129,4746.344
130,2205.9808
131,10797.3362
132,7151.092
133,5969.723
134,4564.19145
135,2690.1138
136,39241.442
137,1909.52745
138,8932.084
139,1631.6683
140,7650.77375
141,10601.412
142,3277.161
143,17942.106
144,10226.2842
145,14418.2804
146,13451.122
147,2200.83085
148,5649.715
149,12592.5345
150,7419.4779
151,5261.46945
152,1744.465
153,36898.73308
154,13143.86485
155,6781.3542
156,12981.3457
157,8556.907
158,12479.70895
159,48824.45
160,3443.064
161,7935.29115
162,16586.49771
163,14590.63205
164,1532.4697
165,6933.24225
166,2217.46915
167,11856.4115
