,0
0,22144.032
1,35491.64
2,10107.2206
3,23244.7902
4,2789.0574
5,2261.5688
6,10594.50155
7,9304.7019
8,10435.06525
9,4894.7533
10,14313.8463
11,28287.89766
12,14426.07385
13,1627.28245
14,25517.11363
15,6555.07035
16,39611.7577
17,9964.06
18,1720.3537
19,2730.10785
20,6500.2359
21,2643.2685
22,11085.5868
23,10115.00885
24,4846.92015
25,28923.13692
26,9391.346
27,4544.2348
28,17128.42608
29,13844.506
30,6113.23105
31,4441.21315
32,1633.9618
33,4058.71245
34,4435.0942
35,1986.9334
36,4260.744
37,4504.6624
38,6117.4945
39,30184.9367
40,11187.6567
41,6796.86325
42,11356.6609
43,2498.4144
44,27375.90478
45,28101.33305
46,2254.7967
47,2597.779
48,14692.66935
49,10370.91255
50,41097.16175
51,3981.9768
52,5472.449
53,21223.6758
54,2534.39375
55,1972.95
56,6551.7501
57,4058.1161
58,4243.59005
59,11512.405
60,46889.2612
61,12268.63225
62,19199.944
63,4433.3877
64,42969.8527
65,23241.47453
66,9140.951
67,5836.5204
68,1149.3959
69,8765.249
70,14043.4767
71,5312.16985
72,1969.614
73,6746.7425
74,5354.07465
75,6877.9801
76,6196.448
77,7986.47525
78,8277.523
79,3206.49135
80,11848.141
81,14210.53595
82,6652.5288
83,2137.6536
84,1131.5066
85,8342.90875
86,12244.531
87,4561.1885
88,17626.23951
89,6875.961
90,9447.3824
91,34254.05335
92,6067.12675
93,5383.536
94,37465.34375
95,7371.772
96,7325.0482
97,8410.04685
98,10461.9794
99,7727.2532
100,2731.9122
101,6858.4796
102,19521.9682
103,47305.305
104,3987.926
105,3238.4357
106,7323.734819
107,39871.7043
108,10807.4863
109,42856.838
110,11345.519
111,4462.7218
112,21595.38229
113,2257.47525
114,10118.424
115,4746.344
116,2205.9808
117,7151.092
118,5969.723
119,2690.1138
120,39241.442
121,1909.52745
122,8932.084
123,7650.77375
124,10601.412
125,3277.161
126,10226.2842
127,14418.2804
128,13451.122
129,2200.83085
130,5649.715
131,12592.5345
132,7419.4779
133,5261.46945
134,1744.465
135,36898.73308
136,13143.86485
137,6781.3542
138,12981.3457
139,8556.907
140,48824.45
141,3443.064
142,7935.29115
143,16586.49771
144,14590.63205
145,6933.24225
146,2217.46915
147,11856.4115
148,19214.70553
149,11534.87265
150,40974.1649
151,33907.548
152,16776.30405
153,10982.5013
154,8026.6666
155,44501.3982
156,8280.6227
157,3736.4647
158,9058.7303
159,18767.7377
160,19107.7796
161,25656.57526
162,39125.33225
163,3906.127
164,17085.2676
165,3021.80915
166,36397.576
167,4449.462
168,1622.1885
169,41919.097
170,8944.1151
171,4391.652
172,4005.4225
173,8930.93455
174,9447.25035
175,7731.85785
176,11576.13
177,3757.8448
178,2154.361
179,3056.3881
180,3956.07145
181,7526.70645
182,34439.8559
183,12928.7911
184,7152.6714
185,26236.57997
186,11743.9341
187,1769.53165
188,10825.2537
189,10796.35025
190,4296.2712
191,1632.03625
192,44202.6536
193,7623.518
194,28340.18885
195,3594.17085
196,24513.09126
197,5488.262
198,11842.442
199,17748.5062
200,33900.653
201,9566.9909
202,8017.06115
203,1711.0268
204,2130.6759
205,9855.1314
206,1743.214
207,3392.3652
208,40103.89
209,6250.435
210,7265.7025
211,3989.841
212,21195.818
213,10407.08585
214,12797.20962
215,4934.705
216,6123.5688
217,4915.05985
218,1534.3045
219,8703.456
220,21677.28345
221,5116.5004
222,46200.9851
223,9957.7216
224,6775.961
225,3046.062
226,6360.9936
227,39722.7462
228,1906.35825
229,11737.84884
230,8835.26495
231,8520.026
232,2217.6012
233,11938.25595
234,13047.33235
235,35585.576
236,12124.9924
237,7443.64305
238,13393.756
239,14254.6082
240,36307.7983
241,8023.13545
242,11353.2276
243,20462.99766
244,35595.5898
245,4673.3922
246,19350.3689
247,18806.14547
248,4399.731
249,10560.4917
250,10579.711
251,5397.6167
252,1146.7966
253,1639.5631
254,3227.1211
255,1731.677
256,13430.265
257,3213.62205
258,7348.142
259,11743.299
260,6571.02435
261,12557.6053
262,2196.4732
263,9174.13565
264,5138.2567
265,7421.19455
266,12363.547
267,11840.77505
268,20745.9891
269,13063.883
270,8062.764
271,7256.7231
272,26392.26029
273,5385.3379
274,11033.6617
275,7077.1894
276,5266.3656
277,10713.644
278,9634.538
279,12913.9924
280,10269.46
281,5125.2157
282,3484.331
283,5080.096
284,6402.29135
285,1704.70015
286,7243.8136
287,3201.24515
288,5267.81815
289,12235.8392
290,3554.203
291,3766.8838
292,2219.4451
293,2302.3
294,4347.02335
295,18157.876
296,22395.74424
297,36950.2567
298,12957.118
299,44423.803
300,1634.5734
301,12430.95335
302,1615.7667
303,5253.524
304,17178.6824
305,10106.13425
306,13635.6379
307,39597.4072
308,30166.61817
309,6112.35295
310,12044.342
311,19444.2658
312,1631.8212
313,8604.48365
314,3994.1778
315,1621.8827
316,24667.419
317,33307.5508
318,20781.48892
319,14358.36437
320,6985.50695
321,24869.8368
322,8240.5896
323,17179.522
324,39774.2763
325,4340.4409
326,23807.2406
327,8601.3293
328,17560.37975
329,12622.1795
330,9563.029
331,16796.41194
332,13228.84695
333,35160.13457
334,10450.552
335,11411.685
336,2203.73595
337,6311.952
338,24873.3849
339,1694.7964
340,2473.3341
341,11015.1747
342,6653.7886
343,1121.8739
344,60021.39897
345,1980.07
346,10977.2063
347,20177.67113
348,2483.736
349,4536.259
350,25992.82104
351,16455.70785
352,6128.79745
353,32108.66282
354,11658.11505
355,1826.843
356,9866.30485
357,16138.76205
358,7418.522
359,11520.09985
360,9095.06825
361,12646.207
362,4134.08245
363,1515.3449
364,34806.4677
365,6272.4772
366,13880.949
367,3353.284
368,41661.602
369,1748.774
370,7640.3092
371,8891.1395
