,0
0,3857.75925
1,1815.8759
2,2464.6188
3,11735.87905
4,17942.106
5,1877.9294
6,4889.9995
7,29186.48236
8,9225.2564
9,4428.88785
10,1842.519
11,1621.3402
12,12479.70895
13,8823.98575
14,1532.4697
15,8964.06055
16,1967.0227
17,15820.699
18,7147.4728
19,20167.33603
20,11363.2832
21,8428.0693
22,7639.41745
23,2211.13075
24,4337.7352
25,4889.0368
26,8310.83915
27,6282.235
28,5979.731
29,10797.3362
30,4719.73655
31,24535.69855
32,11396.9002
33,12265.5069
34,2855.43755
35,12495.29085
36,4239.89265
37,13143.33665
38,10065.413
39,20009.63365
40,1241.565
41,31620.00106
42,1832.094
43,10704.47
44,4564.19145
45,41676.0811
46,47462.894
47,25081.76784
48,1719.4363
49,1242.26
50,46130.5265
51,21880.82
52,12949.1554
53,1631.6683
54,12638.195
55,9872.701
56,13352.0998
57,36197.699
58,9048.0273
59,40720.55105
60,8302.53565
61,26140.3603
62,12574.049
63,8539.671
64,23288.9284
65,41999.52
66,13844.7972
67,11729.6795
68,25333.33284
69,3645.0894
70,13937.6665
71,13415.0381
72,15555.18875
73,13204.28565
74,11881.9696
75,1625.43375
76,46599.1084
77,2026.9741
78,25309.489
79,6849.026
80,7201.70085
81,39983.42595
82,28476.73499
83,12982.8747
84,5415.6612
85,19539.243
86,14001.2867
87,5920.1041
88,13470.8044
89,10422.91665
90,6406.4107
91,15006.57945
92,6414.178
93,9617.66245
94,24393.6224
95,3279.86855
96,19515.5416
97,1708.92575
98,39727.614
99,5257.50795
100,1263.249
101,12142.5786
102,10795.93733
103,5227.98875
104,10564.8845
105,11837.16
106,9748.9106
107,6610.1097
