,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.16,4.647,3.469,0.733
1,1.0,0.15000000000000002,46.0,0.155,4.324,3.125,0.769
2,1.0,0.2,46.0,0.152,4.076,3.041,0.795
3,1.0,0.25,46.0,0.154,4.213,3.107,0.781
4,1.0,0.3,46.0,0.154,4.058,3.084,0.796
5,1.0,0.35,46.0,0.156,4.164,3.142,0.786
6,1.0,0.39999999999999997,46.0,0.153,4.23,3.1,0.779
7,1.0,0.44999999999999996,46.0,0.151,4.098,3.028,0.792
8,1.0,0.49999999999999994,46.0,0.162,4.328,3.278,0.768
9,1.0,0.5499999999999999,46.0,0.157,4.238,3.13,0.778
10,1.0,0.6,46.0,0.154,4.27,3.141,0.775
11,1.0,0.65,46.0,0.149,4.287,3.072,0.773
12,1.0,0.7000000000000001,46.0,0.15,4.42,3.154,0.758
13,1.0,0.7500000000000001,46.0,0.15,4.351,3.121,0.766
14,1.0,0.8000000000000002,46.0,0.145,4.267,3.047,0.775
15,1.0,0.8500000000000002,46.0,0.143,4.29,3.072,0.772
16,1.0,0.9000000000000002,46.0,0.139,4.175,2.975,0.784
17,1.0,0.9500000000000003,46.0,0.139,4.215,3.0,0.78
18,2.0,0.1,46.0,0.195,5.357,3.734,0.644
19,2.0,0.15000000000000002,46.0,0.165,3.43,2.621,0.854
20,2.0,0.2,46.0,0.154,3.458,2.627,0.851
21,2.0,0.25,46.0,0.169,3.601,2.72,0.839
22,2.0,0.3,46.0,0.149,3.36,2.606,0.86
23,2.0,0.35,46.0,0.137,3.196,2.457,0.873
24,2.0,0.39999999999999997,46.0,0.131,3.016,2.306,0.887
25,2.0,0.44999999999999996,46.0,0.132,3.224,2.409,0.871
26,2.0,0.49999999999999994,46.0,0.135,3.193,2.386,0.873
27,2.0,0.5499999999999999,46.0,0.145,3.181,2.424,0.874
28,2.0,0.6,46.0,0.133,3.17,2.291,0.875
29,2.0,0.65,46.0,0.138,3.202,2.418,0.873
30,2.0,0.7000000000000001,46.0,0.128,2.982,2.264,0.89
31,2.0,0.7500000000000001,46.0,0.134,3.245,2.435,0.869
32,2.0,0.8000000000000002,46.0,0.14,3.294,2.479,0.865
33,2.0,0.8500000000000002,46.0,0.136,3.213,2.407,0.872
34,2.0,0.9000000000000002,46.0,0.135,3.252,2.439,0.869
35,2.0,0.9500000000000003,46.0,0.135,3.2,2.372,0.873
36,3.0,0.1,46.0,0.122,3.625,2.59,0.803
37,3.0,0.15000000000000002,46.0,0.123,3.473,2.583,0.819
38,3.0,0.2,46.0,0.117,3.081,2.374,0.858
39,3.0,0.25,46.0,0.112,3.144,2.376,0.852
40,3.0,0.3,46.0,0.117,3.134,2.355,0.853
41,3.0,0.35,46.0,0.097,2.806,2.04,0.882
