,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.219,7.694,5.353,0.268
1,1.0,0.15000000000000002,46.0,0.185,5.742,4.061,0.592
2,1.0,0.2,46.0,0.169,4.933,3.397,0.699
3,1.0,0.25,46.0,0.167,4.942,3.37,0.698
4,1.0,0.3,46.0,0.151,4.576,3.161,0.741
5,1.0,0.35,46.0,0.147,4.36,3.116,0.765
6,1.0,0.39999999999999997,46.0,0.145,4.373,3.058,0.763
7,1.0,0.44999999999999996,46.0,0.148,4.48,3.202,0.752
8,1.0,0.49999999999999994,46.0,0.144,4.321,3.096,0.769
9,1.0,0.5499999999999999,46.0,0.145,4.373,3.094,0.764
10,1.0,0.6,46.0,0.146,4.368,3.174,0.764
11,1.0,0.65,46.0,0.143,4.322,3.059,0.769
12,1.0,0.7000000000000001,46.0,0.136,4.123,2.898,0.79
13,1.0,0.7500000000000001,46.0,0.138,4.083,2.948,0.794
14,1.0,0.8000000000000002,46.0,0.138,4.111,2.931,0.791
15,1.0,0.8500000000000002,46.0,0.138,4.227,2.938,0.779
16,1.0,0.9000000000000002,46.0,0.14,4.236,3.003,0.778
17,1.0,0.9500000000000003,46.0,0.137,4.194,2.953,0.782
18,2.0,0.1,46.0,0.179,5.827,3.846,0.578
19,2.0,0.15000000000000002,46.0,0.16,3.721,2.896,0.828
20,2.0,0.2,46.0,0.147,3.446,2.697,0.853
21,2.0,0.25,46.0,0.146,3.258,2.671,0.868
22,2.0,0.3,46.0,0.153,3.303,2.675,0.864
23,2.0,0.35,46.0,0.143,3.281,2.562,0.866
24,2.0,0.39999999999999997,46.0,0.134,3.216,2.432,0.872
25,2.0,0.44999999999999996,46.0,0.131,3.243,2.384,0.869
26,2.0,0.49999999999999994,46.0,0.13,3.114,2.244,0.88
27,2.0,0.5499999999999999,46.0,0.131,3.187,2.342,0.874
28,2.0,0.6,46.0,0.136,3.284,2.409,0.866
29,2.0,0.65,46.0,0.142,3.303,2.502,0.864
30,2.0,0.7000000000000001,46.0,0.148,3.321,2.55,0.863
31,2.0,0.7500000000000001,46.0,0.151,3.333,2.512,0.862
32,2.0,0.8000000000000002,46.0,0.15,3.284,2.481,0.866
33,2.0,0.8500000000000002,46.0,0.148,3.274,2.491,0.867
34,2.0,0.9000000000000002,46.0,0.148,3.371,2.524,0.859
35,2.0,0.9500000000000003,46.0,0.143,3.246,2.4,0.869
36,3.0,0.1,46.0,0.136,4.267,2.969,0.727
37,3.0,0.15000000000000002,46.0,0.121,3.245,2.381,0.842
38,3.0,0.2,46.0,0.121,2.971,2.233,0.868
39,3.0,0.25,46.0,0.117,2.824,2.25,0.88
40,3.0,0.3,46.0,0.1,2.775,2.063,0.884
41,3.0,0.35,46.0,0.098,2.56,2.004,0.902
42,3.0,0.39999999999999997,46.0,0.1,2.671,2.051,0.893
43,3.0,0.44999999999999996,46.0,0.087,2.665,1.952,0.893
44,3.0,0.49999999999999994,46.0,0.079,2.345,1.755,0.918
45,3.0,0.5499999999999999,46.0,0.088,2.498,1.879,0.906
46,3.0,0.6,46.0,0.082,2.33,1.773,0.919
47,3.0,0.65,46.0,0.083,2.261,1.774,0.923
48,3.0,0.7000000000000001,46.0,0.076,2.228,1.648,0.926
49,3.0,0.7500000000000001,46.0,0.081,2.373,1.707,0.916
50,3.0,0.8000000000000002,46.0,0.084,2.358,1.752,0.917
51,3.0,0.8500000000000002,46.0,0.083,2.251,1.73,0.924
52,3.0,0.9000000000000002,46.0,0.08,2.18,1.664,0.929
53,3.0,0.9500000000000003,46.0,0.08,2.233,1.686,0.925
54,4.0,0.1,46.0,0.122,4.509,2.951,0.696
55,4.0,0.15000000000000002,46.0,0.102,3.123,2.238,0.854
56,4.0,0.2,46.0,0.084,2.24,1.692,0.925
57,4.0,0.25,46.0,0.081,2.016,1.585,0.939
58,4.0,0.3,46.0,0.07,1.845,1.366,0.949
