,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.159,4.615,3.309,0.737
1,1.0,0.15000000000000002,46.0,0.159,4.516,3.204,0.748
2,1.0,0.2,46.0,0.177,4.951,3.647,0.697
3,1.0,0.25,46.0,0.15,4.452,3.088,0.755
4,1.0,0.3,46.0,0.16,4.65,3.412,0.733
5,1.0,0.35,46.0,0.162,4.513,3.386,0.748
6,1.0,0.39999999999999997,46.0,0.153,4.454,3.268,0.755
7,1.0,0.44999999999999996,46.0,0.15,4.418,3.22,0.759
8,1.0,0.49999999999999994,46.0,0.151,4.321,3.217,0.769
9,1.0,0.5499999999999999,46.0,0.152,4.435,3.247,0.757
10,1.0,0.6,46.0,0.142,4.227,3.032,0.779
11,1.0,0.65,46.0,0.144,4.188,3.036,0.783
12,1.0,0.7000000000000001,46.0,0.143,4.156,2.974,0.786
13,1.0,0.7500000000000001,46.0,0.136,4.116,2.909,0.791
14,1.0,0.8000000000000002,46.0,0.141,4.247,3.018,0.777
15,1.0,0.8500000000000002,46.0,0.139,4.15,2.951,0.787
16,1.0,0.9000000000000002,46.0,0.133,4.125,2.855,0.79
17,1.0,0.9500000000000003,46.0,0.133,4.056,2.858,0.797
18,2.0,0.1,46.0,0.197,4.871,3.542,0.705
19,2.0,0.15000000000000002,46.0,0.194,3.782,3.066,0.822
20,2.0,0.2,46.0,0.2,3.781,3.087,0.822
21,2.0,0.25,46.0,0.211,4.04,3.209,0.797
22,2.0,0.3,46.0,0.168,3.436,2.723,0.853
23,2.0,0.35,46.0,0.15,3.477,2.621,0.85
24,2.0,0.39999999999999997,46.0,0.148,3.485,2.593,0.849
25,2.0,0.44999999999999996,46.0,0.14,3.285,2.459,0.866
26,2.0,0.49999999999999994,46.0,0.142,3.313,2.484,0.864
27,2.0,0.5499999999999999,46.0,0.147,3.295,2.433,0.865
28,2.0,0.6,46.0,0.14,3.261,2.385,0.868
29,2.0,0.65,46.0,0.14,3.157,2.386,0.876
30,2.0,0.7000000000000001,46.0,0.137,3.101,2.349,0.881
31,2.0,0.7500000000000001,46.0,0.137,3.11,2.31,0.88
32,2.0,0.8000000000000002,46.0,0.131,2.981,2.183,0.89
33,2.0,0.8500000000000002,46.0,0.136,3.111,2.246,0.88
34,2.0,0.9000000000000002,46.0,0.129,2.971,2.168,0.89
35,2.0,0.9500000000000003,46.0,0.13,2.965,2.19,0.891
36,3.0,0.1,46.0,0.183,4.436,3.376,0.705
37,3.0,0.15000000000000002,46.0,0.152,3.703,2.826,0.794
38,3.0,0.2,46.0,0.155,3.436,2.74,0.823
39,3.0,0.25,46.0,0.154,3.438,2.686,0.823
40,3.0,0.3,46.0,0.158,3.503,2.814,0.816
41,3.0,0.35,46.0,0.101,2.712,2.038,0.89
42,3.0,0.39999999999999997,46.0,0.097,2.687,2.058,0.892
43,3.0,0.44999999999999996,46.0,0.093,2.677,1.974,0.893
44,3.0,0.49999999999999994,46.0,0.084,2.58,1.845,0.9
45,3.0,0.5499999999999999,46.0,0.081,2.41,1.73,0.913
46,3.0,0.6,46.0,0.084,2.327,1.768,0.919
47,3.0,0.65,46.0,0.084,2.252,1.73,0.924
48,3.0,0.7000000000000001,46.0,0.082,2.194,1.694,0.928
49,3.0,0.7500000000000001,46.0,0.079,2.222,1.708,0.926
50,3.0,0.8000000000000002,46.0,0.078,2.275,1.672,0.922
51,3.0,0.8500000000000002,46.0,0.079,2.277,1.669,0.922
52,3.0,0.9000000000000002,46.0,0.076,2.263,1.631,0.923
53,3.0,0.9500000000000003,46.0,0.08,2.295,1.695,0.921
