,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,46.0,0.181,5.172,3.791,0.669
1,1.0,0.15000000000000002,46.0,0.16,5.062,3.412,0.683
2,1.0,0.2,46.0,0.173,5.272,3.649,0.656
3,1.0,0.25,46.0,0.158,4.647,3.307,0.733
4,1.0,0.3,46.0,0.159,4.589,3.317,0.74
5,1.0,0.35,46.0,0.144,4.564,3.194,0.742
6,1.0,0.39999999999999997,46.0,0.143,4.578,3.199,0.741
7,1.0,0.44999999999999996,46.0,0.161,4.931,3.471,0.699
8,1.0,0.49999999999999994,46.0,0.152,4.66,3.329,0.731
9,1.0,0.5499999999999999,46.0,0.148,4.709,3.247,0.726
10,1.0,0.6,46.0,0.146,4.515,3.153,0.748
11,1.0,0.65,46.0,0.148,4.384,3.162,0.762
12,1.0,0.7000000000000001,46.0,0.146,4.333,3.141,0.768
13,1.0,0.7500000000000001,46.0,0.148,4.301,3.165,0.771
14,1.0,0.8000000000000002,46.0,0.145,4.333,3.126,0.768
15,1.0,0.8500000000000002,46.0,0.145,4.249,3.098,0.777
16,1.0,0.9000000000000002,46.0,0.138,4.059,2.92,0.796
17,1.0,0.9500000000000003,46.0,0.139,4.191,2.958,0.783
18,2.0,0.1,46.0,0.217,5.504,4.065,0.624
19,2.0,0.15000000000000002,46.0,0.204,4.598,3.328,0.737
20,2.0,0.2,46.0,0.206,4.208,3.234,0.78
21,2.0,0.25,46.0,0.188,4.035,2.967,0.798
22,2.0,0.3,46.0,0.183,4.067,2.885,0.794
23,2.0,0.35,46.0,0.175,3.922,2.827,0.809
24,2.0,0.39999999999999997,46.0,0.158,3.706,2.62,0.829
25,2.0,0.44999999999999996,46.0,0.148,3.561,2.425,0.843
26,2.0,0.49999999999999994,46.0,0.154,3.616,2.572,0.838
27,2.0,0.5499999999999999,46.0,0.15,3.529,2.502,0.845
28,2.0,0.6,46.0,0.147,3.521,2.511,0.846
29,2.0,0.65,46.0,0.158,3.72,2.632,0.828
30,2.0,0.7000000000000001,46.0,0.145,3.51,2.449,0.847
31,2.0,0.7500000000000001,46.0,0.135,3.409,2.402,0.856
32,2.0,0.8000000000000002,46.0,0.137,3.496,2.389,0.848
33,2.0,0.8500000000000002,46.0,0.136,3.38,2.403,0.858
34,2.0,0.9000000000000002,46.0,0.134,3.38,2.384,0.858
35,2.0,0.9500000000000003,46.0,0.134,3.398,2.387,0.857
36,3.0,0.1,46.0,0.124,3.576,2.647,0.808
37,3.0,0.15000000000000002,46.0,0.104,2.944,2.093,0.87
38,3.0,0.2,46.0,0.107,2.872,2.14,0.876
39,3.0,0.25,46.0,0.102,2.755,1.985,0.886
40,3.0,0.3,46.0,0.108,2.882,2.144,0.875
41,3.0,0.35,46.0,0.096,2.609,1.98,0.898
42,3.0,0.39999999999999997,46.0,0.079,2.387,1.736,0.915
43,3.0,0.44999999999999996,46.0,0.083,2.578,1.855,0.9
44,3.0,0.49999999999999994,46.0,0.087,2.661,1.944,0.894
45,3.0,0.5499999999999999,46.0,0.078,2.343,1.715,0.918
46,3.0,0.6,46.0,0.087,2.458,1.894,0.909
47,3.0,0.65,46.0,0.082,2.367,1.791,0.916
48,3.0,0.7000000000000001,46.0,0.084,2.466,1.855,0.909
49,3.0,0.7500000000000001,46.0,0.084,2.441,1.824,0.911
50,3.0,0.8000000000000002,46.0,0.084,2.409,1.821,0.913
51,3.0,0.8500000000000002,46.0,0.084,2.33,1.814,0.919
52,3.0,0.9000000000000002,46.0,0.082,2.226,1.712,0.926
53,3.0,0.9500000000000003,46.0,0.08,2.235,1.708,0.925
54,4.0,0.1,46.0,0.127,3.924,2.882,0.77
55,4.0,0.15000000000000002,46.0,0.106,3.101,2.299,0.856
56,4.0,0.2,46.0,0.091,2.423,1.904,0.912
57,4.0,0.25,46.0,0.085,2.157,1.696,0.931
58,4.0,0.3,46.0,0.096,2.28,1.886,0.922
59,4.0,0.35,46.0,0.082,2.038,1.597,0.938
60,4.0,0.39999999999999997,46.0,0.088,2.146,1.667,0.931
61,4.0,0.44999999999999996,46.0,0.072,1.947,1.472,0.943
62,4.0,0.49999999999999994,46.0,0.07,1.926,1.453,0.945
63,4.0,0.5499999999999999,46.0,0.078,2.059,1.582,0.937
64,4.0,0.6,46.0,0.071,1.904,1.441,0.946
65,4.0,0.65,46.0,0.075,1.964,1.519,0.942
66,4.0,0.7000000000000001,46.0,0.072,1.85,1.427,0.949
67,4.0,0.7500000000000001,46.0,0.075,1.866,1.469,0.948
68,4.0,0.8000000000000002,46.0,0.076,1.928,1.493,0.944
69,4.0,0.8500000000000002,46.0,0.069,1.802,1.406,0.951
70,4.0,0.9000000000000002,46.0,0.07,1.779,1.393,0.953
71,4.0,0.9500000000000003,46.0,0.075,1.899,1.449,0.946
72,5.0,0.1,46.0,0.145,4.262,3.196,0.669
73,5.0,0.15000000000000002,46.0,0.139,3.964,2.926,0.713
74,5.0,0.2,46.0,0.146,3.886,2.884,0.724
75,5.0,0.25,46.0,0.14,3.915,2.837,0.72
76,5.0,0.3,46.0,0.126,3.995,2.738,0.709
77,5.0,0.35,46.0,0.114,3.607,2.464,0.763
78,5.0,0.39999999999999997,46.0,0.112,3.415,2.384,0.787
79,5.0,0.44999999999999996,46.0,0.122,3.766,2.583,0.741
80,5.0,0.49999999999999994,46.0,0.114,3.619,2.455,0.761
81,5.0,0.5499999999999999,46.0,0.115,3.514,2.463,0.775
82,5.0,0.6,46.0,0.109,3.418,2.331,0.787
83,5.0,0.65,46.0,0.111,3.474,2.352,0.78
84,5.0,0.7000000000000001,46.0,0.111,3.616,2.398,0.761
85,5.0,0.7500000000000001,46.0,0.107,3.382,2.312,0.791
86,5.0,0.8000000000000002,46.0,0.102,3.205,2.193,0.812
87,5.0,0.8500000000000002,46.0,0.1,3.211,2.169,0.812
88,5.0,0.9000000000000002,46.0,0.102,3.234,2.21,0.809
89,5.0,0.9500000000000003,46.0,0.1,3.146,2.152,0.819
90,6.0,0.1,45.0,0.166,6.75,4.025,0.55
91,6.0,0.15000000000000002,45.0,0.13,4.542,2.911,0.796
92,6.0,0.2,45.0,0.144,4.464,2.933,0.803
93,6.0,0.25,45.0,0.127,4.074,2.58,0.836
94,6.0,0.3,45.0,0.113,3.665,2.446,0.867
95,6.0,0.35,45.0,0.118,3.705,2.457,0.864
96,6.0,0.39999999999999997,45.0,0.109,3.509,2.335,0.878
97,6.0,0.44999999999999996,45.0,0.106,3.568,2.328,0.874
98,6.0,0.49999999999999994,45.0,0.106,3.599,2.319,0.872
99,6.0,0.5499999999999999,45.0,0.099,3.292,2.15,0.893
100,6.0,0.6,45.0,0.103,3.459,2.232,0.882
101,6.0,0.65,45.0,0.106,3.784,2.355,0.859
102,6.0,0.7000000000000001,45.0,0.104,3.545,2.271,0.876
103,6.0,0.7500000000000001,45.0,0.102,3.58,2.304,0.873
104,6.0,0.8000000000000002,45.0,0.107,3.467,2.288,0.881
105,6.0,0.8500000000000002,45.0,0.109,3.634,2.383,0.87
106,6.0,0.9000000000000002,45.0,0.104,3.52,2.261,0.878
107,6.0,0.9500000000000003,45.0,0.103,3.422,2.204,0.884
108,7.0,0.1,45.0,0.196,4.011,3.164,0.751
109,7.0,0.15000000000000002,45.0,0.195,3.942,2.742,0.76
110,7.0,0.2,45.0,0.192,3.802,2.63,0.776
111,7.0,0.25,45.0,0.21,4.057,2.943,0.745
112,7.0,0.3,45.0,0.192,3.854,2.804,0.77
113,7.0,0.35,45.0,0.164,3.281,2.376,0.833
114,7.0,0.39999999999999997,45.0,0.135,3.04,2.263,0.857
115,7.0,0.44999999999999996,45.0,0.122,2.672,2.048,0.89
116,7.0,0.49999999999999994,45.0,0.131,2.839,2.099,0.875
117,7.0,0.5499999999999999,45.0,0.127,2.803,2.05,0.878
118,7.0,0.6,45.0,0.129,2.948,2.111,0.865
119,7.0,0.65,45.0,0.13,2.882,2.096,0.871
120,7.0,0.7000000000000001,45.0,0.127,2.865,2.082,0.873
121,7.0,0.7500000000000001,45.0,0.123,2.873,1.929,0.872
122,7.0,0.8000000000000002,45.0,0.124,2.824,1.915,0.877
123,7.0,0.8500000000000002,45.0,0.125,2.794,1.959,0.879
124,7.0,0.9000000000000002,45.0,0.122,2.788,1.908,0.88
125,7.0,0.9500000000000003,45.0,0.123,2.781,1.937,0.88
126,8.0,0.1,45.0,0.159,7.547,4.662,0.525
127,8.0,0.15000000000000002,45.0,0.135,5.582,3.612,0.74
128,8.0,0.2,45.0,0.114,5.335,2.955,0.763
129,8.0,0.25,45.0,0.114,5.434,2.963,0.754
130,8.0,0.3,45.0,0.1,5.285,2.642,0.767
131,8.0,0.35,45.0,0.096,5.009,2.555,0.791
132,8.0,0.39999999999999997,45.0,0.096,4.541,2.453,0.828
133,8.0,0.44999999999999996,45.0,0.095,4.885,2.477,0.801
134,8.0,0.49999999999999994,45.0,0.087,4.745,2.319,0.812
135,8.0,0.5499999999999999,45.0,0.093,5.004,2.492,0.791
136,8.0,0.6,45.0,0.095,4.343,2.362,0.843
137,8.0,0.65,45.0,0.098,4.505,2.47,0.831
138,8.0,0.7000000000000001,45.0,0.095,4.472,2.447,0.833
139,8.0,0.7500000000000001,45.0,0.097,4.545,2.507,0.828
140,8.0,0.8000000000000002,45.0,0.09,4.401,2.343,0.839
