,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,70.0,0.045,1.532,1.128,0.977
1,1.0,0.15000000000000002,70.0,0.046,1.292,1.016,0.984
2,1.0,0.2,70.0,0.039,1.085,0.867,0.988
3,1.0,0.25,70.0,0.035,0.931,0.724,0.991
4,1.0,0.3,70.0,0.032,0.819,0.63,0.993
5,1.0,0.35,70.0,0.029,0.71,0.564,0.995
6,1.0,0.39999999999999997,70.0,0.025,0.651,0.496,0.996
7,1.0,0.44999999999999996,70.0,0.028,0.7,0.522,0.995
8,1.0,0.49999999999999994,70.0,0.022,0.606,0.455,0.996
9,1.0,0.5499999999999999,70.0,0.023,0.63,0.474,0.996
10,1.0,0.6,70.0,0.024,0.628,0.48,0.996
11,1.0,0.65,70.0,0.021,0.613,0.433,0.996
12,1.0,0.7000000000000001,70.0,0.02,0.598,0.425,0.996
13,1.0,0.7500000000000001,70.0,0.02,0.599,0.422,0.996
14,1.0,0.8000000000000002,70.0,0.018,0.549,0.391,0.997
15,1.0,0.8500000000000002,70.0,0.018,0.559,0.415,0.997
16,1.0,0.9000000000000002,70.0,0.016,0.515,0.365,0.997
17,1.0,0.9500000000000003,70.0,0.017,0.524,0.375,0.997
18,1.0,1.0000000000000002,70.0,0.017,0.552,0.386,0.997
19,2.0,0.1,69.0,0.042,1.732,1.036,0.965
20,2.0,0.15000000000000002,69.0,0.034,0.949,0.65,0.99
21,2.0,0.2,69.0,0.039,0.948,0.692,0.99
22,2.0,0.25,69.0,0.035,0.836,0.617,0.992
23,2.0,0.3,69.0,0.036,0.742,0.594,0.994
24,2.0,0.35,69.0,0.031,0.749,0.536,0.994
25,2.0,0.39999999999999997,69.0,0.028,0.713,0.487,0.994
26,2.0,0.44999999999999996,69.0,0.025,0.626,0.439,0.995
27,2.0,0.49999999999999994,69.0,0.026,0.62,0.457,0.996
28,2.0,0.5499999999999999,69.0,0.024,0.674,0.453,0.995
29,2.0,0.6,69.0,0.023,0.621,0.414,0.996
30,2.0,0.65,69.0,0.018,0.475,0.347,0.997
31,2.0,0.7000000000000001,69.0,0.016,0.431,0.304,0.998
32,2.0,0.7500000000000001,69.0,0.015,0.424,0.294,0.998
33,2.0,0.8000000000000002,69.0,0.016,0.427,0.302,0.998
34,2.0,0.8500000000000002,69.0,0.017,0.444,0.32,0.998
35,2.0,0.9000000000000002,69.0,0.015,0.419,0.299,0.998
36,2.0,0.9500000000000003,69.0,0.015,0.423,0.297,0.998
37,2.0,1.0000000000000002,69.0,0.014,0.39,0.27,0.998
38,3.0,0.1,69.0,0.053,1.651,1.061,0.97
39,3.0,0.15000000000000002,69.0,0.038,1.193,0.787,0.984
40,3.0,0.2,69.0,0.038,1.3,0.857,0.981
41,3.0,0.25,69.0,0.027,0.872,0.602,0.992
42,3.0,0.3,69.0,0.024,0.796,0.505,0.993
43,3.0,0.35,69.0,0.021,0.722,0.451,0.994
44,3.0,0.39999999999999997,69.0,0.023,0.716,0.482,0.994
45,3.0,0.44999999999999996,69.0,0.02,0.663,0.41,0.995
46,3.0,0.49999999999999994,69.0,0.021,0.674,0.419,0.995
47,3.0,0.5499999999999999,69.0,0.018,0.552,0.377,0.997
48,3.0,0.6,69.0,0.02,0.672,0.415,0.995
49,3.0,0.65,69.0,0.019,0.692,0.388,0.995
50,3.0,0.7000000000000001,69.0,0.016,0.488,0.342,0.997
51,3.0,0.7500000000000001,69.0,0.016,0.491,0.34,0.997
52,3.0,0.8000000000000002,69.0,0.016,0.504,0.351,0.997
53,3.0,0.8500000000000002,69.0,0.016,0.497,0.344,0.997
54,3.0,0.9000000000000002,69.0,0.016,0.465,0.345,0.998
55,3.0,0.9500000000000003,69.0,0.015,0.449,0.328,0.998
56,3.0,1.0000000000000002,69.0,0.014,0.448,0.319,0.998
57,4.0,0.1,69.0,0.059,2.118,1.326,0.956
58,4.0,0.15000000000000002,69.0,0.05,1.539,0.892,0.977
59,4.0,0.2,69.0,0.05,1.409,0.887,0.98
60,4.0,0.25,69.0,0.047,1.347,0.818,0.982
61,4.0,0.3,69.0,0.042,1.186,0.707,0.986
62,4.0,0.35,69.0,0.044,1.165,0.696,0.987
63,4.0,0.39999999999999997,69.0,0.039,1.122,0.586,0.988
64,4.0,0.44999999999999996,69.0,0.039,1.104,0.588,0.988
65,4.0,0.49999999999999994,69.0,0.039,1.076,0.57,0.989
66,4.0,0.5499999999999999,69.0,0.027,0.606,0.395,0.996
67,4.0,0.6,69.0,0.024,0.522,0.356,0.997
68,4.0,0.65,69.0,0.022,0.461,0.359,0.998
69,4.0,0.7000000000000001,69.0,0.021,0.481,0.359,0.998
70,4.0,0.7500000000000001,69.0,0.02,0.45,0.336,0.998
71,4.0,0.8000000000000002,69.0,0.021,0.47,0.353,0.998
72,4.0,0.8500000000000002,69.0,0.019,0.431,0.339,0.998
73,4.0,0.9000000000000002,69.0,0.021,0.491,0.354,0.998
74,4.0,0.9500000000000003,69.0,0.019,0.456,0.328,0.998
75,4.0,1.0000000000000002,69.0,0.017,0.431,0.3,0.998
76,5.0,0.1,69.0,0.075,2.047,1.58,0.955
77,5.0,0.15000000000000002,69.0,0.045,1.368,1.083,0.98
78,5.0,0.2,69.0,0.037,1.2,0.874,0.985
79,5.0,0.25,69.0,0.032,1.127,0.752,0.986
80,5.0,0.3,69.0,0.028,0.804,0.605,0.993
81,5.0,0.35,69.0,0.025,0.759,0.565,0.994
82,5.0,0.39999999999999997,69.0,0.023,0.711,0.501,0.995
83,5.0,0.44999999999999996,69.0,0.02,0.654,0.441,0.995
84,5.0,0.49999999999999994,69.0,0.02,0.668,0.443,0.995
85,5.0,0.5499999999999999,69.0,0.019,0.606,0.412,0.996
86,5.0,0.6,69.0,0.019,0.598,0.421,0.996
87,5.0,0.65,69.0,0.016,0.533,0.384,0.997
88,5.0,0.7000000000000001,69.0,0.019,0.577,0.418,0.996
89,5.0,0.7500000000000001,69.0,0.018,0.566,0.389,0.997
90,5.0,0.8000000000000002,69.0,0.018,0.574,0.414,0.996
91,5.0,0.8500000000000002,69.0,0.017,0.557,0.395,0.997
92,5.0,0.9000000000000002,69.0,0.017,0.565,0.382,0.997
93,5.0,0.9500000000000003,69.0,0.015,0.527,0.364,0.997
94,5.0,1.0000000000000002,69.0,0.015,0.494,0.35,0.997
95,6.0,0.1,69.0,0.062,2.525,1.649,0.937
96,6.0,0.15000000000000002,69.0,0.042,1.321,0.897,0.983
97,6.0,0.2,69.0,0.038,1.112,0.785,0.988
98,6.0,0.25,69.0,0.045,1.212,0.885,0.985
99,6.0,0.3,69.0,0.035,0.907,0.689,0.992
100,6.0,0.35,69.0,0.029,0.754,0.571,0.994
101,6.0,0.39999999999999997,69.0,0.03,0.739,0.547,0.995
102,6.0,0.44999999999999996,69.0,0.029,0.673,0.516,0.995
103,6.0,0.49999999999999994,69.0,0.03,0.713,0.559,0.995
104,6.0,0.5499999999999999,69.0,0.025,0.612,0.464,0.996
105,6.0,0.6,69.0,0.027,0.634,0.478,0.996
106,6.0,0.65,69.0,0.022,0.543,0.407,0.997
107,6.0,0.7000000000000001,69.0,0.018,0.473,0.343,0.998
108,6.0,0.7500000000000001,69.0,0.018,0.504,0.364,0.997
109,6.0,0.8000000000000002,69.0,0.016,0.473,0.325,0.998
110,6.0,0.8500000000000002,69.0,0.016,0.492,0.329,0.998
111,6.0,0.9000000000000002,69.0,0.015,0.475,0.313,0.998
112,6.0,0.9500000000000003,69.0,0.015,0.474,0.318,0.998
113,6.0,1.0000000000000002,69.0,0.015,0.464,0.32,0.998
114,7.0,0.1,69.0,0.051,1.41,1.096,0.977
115,7.0,0.15000000000000002,69.0,0.048,1.382,1.016,0.977
116,7.0,0.2,69.0,0.043,1.175,0.88,0.984
117,7.0,0.25,69.0,0.038,1.069,0.784,0.987
118,7.0,0.3,69.0,0.037,1.028,0.754,0.988
119,7.0,0.35,69.0,0.034,0.861,0.657,0.991
120,7.0,0.39999999999999997,69.0,0.031,0.825,0.615,0.992
121,7.0,0.44999999999999996,69.0,0.031,0.819,0.614,0.992
122,7.0,0.49999999999999994,69.0,0.025,0.639,0.503,0.995
123,7.0,0.5499999999999999,69.0,0.025,0.674,0.49,0.995
124,7.0,0.6,69.0,0.021,0.575,0.419,0.996
125,7.0,0.65,69.0,0.023,0.602,0.443,0.996
126,7.0,0.7000000000000001,69.0,0.023,0.61,0.441,0.996
127,7.0,0.7500000000000001,69.0,0.021,0.597,0.418,0.996
128,7.0,0.8000000000000002,69.0,0.02,0.565,0.4,0.996
129,7.0,0.8500000000000002,69.0,0.022,0.625,0.426,0.995
130,7.0,0.9000000000000002,69.0,0.019,0.562,0.388,0.996
