,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,70.0,0.081,2.113,1.45,0.956
1,1.0,0.15000000000000002,70.0,0.085,2.053,1.262,0.958
2,1.0,0.2,70.0,0.036,1.229,0.835,0.985
3,1.0,0.25,70.0,0.035,1.048,0.773,0.989
4,1.0,0.3,70.0,0.03,0.841,0.607,0.993
5,1.0,0.35,70.0,0.027,0.747,0.569,0.994
6,1.0,0.39999999999999997,70.0,0.027,0.719,0.556,0.995
7,1.0,0.44999999999999996,70.0,0.027,0.71,0.547,0.995
8,1.0,0.49999999999999994,70.0,0.027,0.692,0.526,0.995
9,1.0,0.5499999999999999,70.0,0.021,0.597,0.443,0.996
10,1.0,0.6,70.0,0.02,0.607,0.438,0.996
11,1.0,0.65,70.0,0.019,0.577,0.424,0.997
12,1.0,0.7000000000000001,70.0,0.02,0.607,0.435,0.996
13,1.0,0.7500000000000001,70.0,0.019,0.584,0.421,0.997
14,1.0,0.8000000000000002,70.0,0.017,0.546,0.387,0.997
15,1.0,0.8500000000000002,70.0,0.018,0.557,0.4,0.997
16,1.0,0.9000000000000002,70.0,0.018,0.553,0.396,0.997
17,1.0,0.9500000000000003,70.0,0.018,0.566,0.419,0.997
18,1.0,1.0000000000000002,70.0,0.019,0.583,0.432,0.997
19,2.0,0.1,69.0,0.044,1.424,0.898,0.977
20,2.0,0.15000000000000002,69.0,0.04,1.026,0.728,0.988
21,2.0,0.2,69.0,0.033,0.961,0.653,0.989
22,2.0,0.25,69.0,0.032,0.893,0.587,0.991
23,2.0,0.3,69.0,0.025,0.622,0.453,0.996
24,2.0,0.35,69.0,0.025,0.574,0.432,0.996
25,2.0,0.39999999999999997,69.0,0.024,0.543,0.412,0.997
26,2.0,0.44999999999999996,69.0,0.024,0.531,0.413,0.997
27,2.0,0.49999999999999994,69.0,0.022,0.526,0.401,0.997
28,2.0,0.5499999999999999,69.0,0.023,0.495,0.385,0.997
29,2.0,0.6,69.0,0.023,0.513,0.389,0.997
30,2.0,0.65,69.0,0.019,0.462,0.344,0.998
31,2.0,0.7000000000000001,69.0,0.017,0.43,0.328,0.998
32,2.0,0.7500000000000001,69.0,0.015,0.414,0.289,0.998
33,2.0,0.8000000000000002,69.0,0.016,0.429,0.301,0.998
34,2.0,0.8500000000000002,69.0,0.015,0.405,0.29,0.998
35,2.0,0.9000000000000002,69.0,0.014,0.39,0.273,0.998
36,2.0,0.9500000000000003,69.0,0.014,0.397,0.276,0.998
37,2.0,1.0000000000000002,69.0,0.012,0.371,0.251,0.998
38,3.0,0.1,69.0,0.062,2.571,1.703,0.927
39,3.0,0.15000000000000002,69.0,0.051,1.702,1.218,0.968
