,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,70.0,0.071,2.631,1.856,0.932
1,1.0,0.15000000000000002,70.0,0.053,1.73,1.31,0.97
2,1.0,0.2,70.0,0.039,1.361,0.94,0.982
3,1.0,0.25,70.0,0.031,1.081,0.744,0.988
4,1.0,0.3,70.0,0.029,1.105,0.716,0.988
5,1.0,0.35,70.0,0.028,1.036,0.67,0.989
6,1.0,0.39999999999999997,70.0,0.025,0.894,0.592,0.992
7,1.0,0.44999999999999996,70.0,0.025,0.834,0.569,0.993
8,1.0,0.49999999999999994,70.0,0.024,0.749,0.525,0.994
9,1.0,0.5499999999999999,70.0,0.023,0.632,0.478,0.996
10,1.0,0.6,70.0,0.021,0.628,0.462,0.996
11,1.0,0.65,70.0,0.02,0.598,0.449,0.996
12,1.0,0.7000000000000001,70.0,0.019,0.595,0.442,0.996
13,1.0,0.7500000000000001,70.0,0.019,0.586,0.437,0.997
14,1.0,0.8000000000000002,70.0,0.018,0.556,0.415,0.997
15,1.0,0.8500000000000002,70.0,0.019,0.575,0.428,0.997
16,1.0,0.9000000000000002,70.0,0.019,0.586,0.433,0.997
17,1.0,0.9500000000000003,70.0,0.019,0.577,0.434,0.997
18,1.0,1.0000000000000002,70.0,0.018,0.588,0.429,0.997
19,2.0,0.1,69.0,0.05,1.513,1.012,0.974
20,2.0,0.15000000000000002,69.0,0.034,0.882,0.65,0.991
21,2.0,0.2,69.0,0.03,0.884,0.577,0.991
22,2.0,0.25,69.0,0.028,0.801,0.528,0.993
23,2.0,0.3,69.0,0.029,0.814,0.559,0.992
24,2.0,0.35,69.0,0.026,0.689,0.475,0.995
25,2.0,0.39999999999999997,69.0,0.025,0.67,0.461,0.995
26,2.0,0.44999999999999996,69.0,0.025,0.668,0.441,0.995
27,2.0,0.49999999999999994,69.0,0.024,0.649,0.435,0.995
28,2.0,0.5499999999999999,69.0,0.021,0.613,0.406,0.996
29,2.0,0.6,69.0,0.017,0.518,0.327,0.997
30,2.0,0.65,69.0,0.019,0.621,0.361,0.996
31,2.0,0.7000000000000001,69.0,0.016,0.429,0.305,0.998
32,2.0,0.7500000000000001,69.0,0.016,0.432,0.315,0.998
33,2.0,0.8000000000000002,69.0,0.016,0.435,0.312,0.998
34,2.0,0.8500000000000002,69.0,0.012,0.356,0.25,0.999
35,2.0,0.9000000000000002,69.0,0.013,0.386,0.265,0.998
36,2.0,0.9500000000000003,69.0,0.012,0.366,0.259,0.998
37,2.0,1.0000000000000002,69.0,0.012,0.39,0.264,0.998
38,3.0,0.1,69.0,0.075,2.128,1.593,0.95
39,3.0,0.15000000000000002,69.0,0.061,1.775,1.321,0.965
40,3.0,0.2,69.0,0.038,1.105,0.837,0.987
41,3.0,0.25,69.0,0.033,1.011,0.729,0.989
42,3.0,0.3,69.0,0.032,0.927,0.678,0.991
43,3.0,0.35,69.0,0.025,0.699,0.518,0.995
44,3.0,0.39999999999999997,69.0,0.025,0.655,0.515,0.995
45,3.0,0.44999999999999996,69.0,0.027,0.653,0.517,0.995
46,3.0,0.49999999999999994,69.0,0.022,0.576,0.442,0.996
47,3.0,0.5499999999999999,69.0,0.021,0.563,0.436,0.997
48,3.0,0.6,69.0,0.02,0.555,0.411,0.997
49,3.0,0.65,69.0,0.02,0.541,0.411,0.997
50,3.0,0.7000000000000001,69.0,0.018,0.533,0.393,0.997
51,3.0,0.7500000000000001,69.0,0.017,0.536,0.378,0.997
52,3.0,0.8000000000000002,69.0,0.019,0.552,0.402,0.997
53,3.0,0.8500000000000002,69.0,0.017,0.539,0.377,0.997
54,3.0,0.9000000000000002,69.0,0.017,0.551,0.369,0.997
55,3.0,0.9500000000000003,69.0,0.016,0.532,0.376,0.997
56,3.0,1.0000000000000002,69.0,0.014,0.494,0.334,0.997
57,4.0,0.1,69.0,0.061,1.731,1.256,0.971
58,4.0,0.15000000000000002,69.0,0.056,1.661,1.033,0.973
59,4.0,0.2,69.0,0.052,1.586,0.946,0.975
60,4.0,0.25,69.0,0.042,1.209,0.733,0.986
61,4.0,0.3,69.0,0.031,0.859,0.563,0.993
62,4.0,0.35,69.0,0.025,0.573,0.411,0.997
63,4.0,0.39999999999999997,69.0,0.026,0.578,0.43,0.997
64,4.0,0.44999999999999996,69.0,0.026,0.626,0.4,0.996
65,4.0,0.49999999999999994,69.0,0.023,0.507,0.394,0.997
66,4.0,0.5499999999999999,69.0,0.022,0.486,0.373,0.998
67,4.0,0.6,69.0,0.02,0.458,0.338,0.998
68,4.0,0.65,69.0,0.021,0.463,0.356,0.998
69,4.0,0.7000000000000001,69.0,0.02,0.474,0.343,0.998
70,4.0,0.7500000000000001,69.0,0.02,0.511,0.351,0.997
71,4.0,0.8000000000000002,69.0,0.019,0.482,0.333,0.998
72,4.0,0.8500000000000002,69.0,0.018,0.463,0.333,0.998
73,4.0,0.9000000000000002,69.0,0.017,0.459,0.317,0.998
74,4.0,0.9500000000000003,69.0,0.016,0.45,0.302,0.998
75,4.0,1.0000000000000002,69.0,0.015,0.428,0.279,0.998
76,5.0,0.1,69.0,0.05,1.638,1.174,0.971
77,5.0,0.15000000000000002,69.0,0.046,1.422,1.042,0.978
78,5.0,0.2,69.0,0.043,1.196,0.905,0.985
79,5.0,0.25,69.0,0.044,1.128,0.825,0.986
80,5.0,0.3,69.0,0.029,0.902,0.683,0.991
81,5.0,0.35,69.0,0.025,0.8,0.587,0.993
82,5.0,0.39999999999999997,69.0,0.024,0.726,0.527,0.994
83,5.0,0.44999999999999996,69.0,0.023,0.751,0.521,0.994
84,5.0,0.49999999999999994,69.0,0.019,0.654,0.452,0.995
85,5.0,0.5499999999999999,69.0,0.021,0.684,0.48,0.995
86,5.0,0.6,69.0,0.018,0.618,0.432,0.996
87,5.0,0.65,69.0,0.018,0.617,0.427,0.996
88,5.0,0.7000000000000001,69.0,0.017,0.584,0.413,0.996
89,5.0,0.7500000000000001,69.0,0.018,0.601,0.433,0.996
90,5.0,0.8000000000000002,69.0,0.018,0.599,0.424,0.996
91,5.0,0.8500000000000002,69.0,0.017,0.616,0.425,0.996
92,5.0,0.9000000000000002,69.0,0.018,0.589,0.432,0.996
93,5.0,0.9500000000000003,69.0,0.018,0.588,0.425,0.996
94,5.0,1.0000000000000002,69.0,0.018,0.612,0.44,0.996
95,6.0,0.1,69.0,0.064,2.523,1.63,0.937
96,6.0,0.15000000000000002,69.0,0.05,1.486,1.047,0.978
97,6.0,0.2,69.0,0.047,1.322,0.943,0.983
98,6.0,0.25,69.0,0.042,1.112,0.817,0.988
99,6.0,0.3,69.0,0.042,1.03,0.794,0.989
100,6.0,0.35,69.0,0.042,0.984,0.778,0.99
101,6.0,0.39999999999999997,69.0,0.026,0.7,0.533,0.995
102,6.0,0.44999999999999996,69.0,0.025,0.619,0.482,0.996
103,6.0,0.49999999999999994,69.0,0.024,0.584,0.462,0.997
104,6.0,0.5499999999999999,69.0,0.021,0.526,0.401,0.997
105,6.0,0.6,69.0,0.02,0.537,0.394,0.997
106,6.0,0.65,69.0,0.019,0.531,0.377,0.997
107,6.0,0.7000000000000001,69.0,0.018,0.494,0.359,0.998
108,6.0,0.7500000000000001,69.0,0.017,0.512,0.36,0.997
109,6.0,0.8000000000000002,69.0,0.018,0.508,0.37,0.997
