,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,70.0,0.081,3.666,2.349,0.867
1,1.0,0.15000000000000002,70.0,0.063,2.852,1.712,0.92
2,1.0,0.2,70.0,0.048,1.541,1.11,0.977
3,1.0,0.25,70.0,0.042,1.274,0.905,0.984
4,1.0,0.3,70.0,0.036,1.141,0.784,0.987
5,1.0,0.35,70.0,0.036,1.193,0.783,0.986
6,1.0,0.39999999999999997,70.0,0.032,1.165,0.71,0.987
7,1.0,0.44999999999999996,70.0,0.033,1.137,0.7,0.987
8,1.0,0.49999999999999994,70.0,0.028,1.218,0.667,0.985
9,1.0,0.5499999999999999,70.0,0.026,1.136,0.604,0.987
10,1.0,0.6,70.0,0.024,1.106,0.583,0.988
11,1.0,0.65,70.0,0.023,1.111,0.582,0.988
12,1.0,0.7000000000000001,70.0,0.022,1.114,0.583,0.988
13,1.0,0.7500000000000001,70.0,0.022,1.132,0.584,0.987
14,1.0,0.8000000000000002,70.0,0.023,1.09,0.578,0.988
15,1.0,0.8500000000000002,70.0,0.023,1.135,0.596,0.987
16,1.0,0.9000000000000002,70.0,0.022,1.108,0.586,0.988
17,1.0,0.9500000000000003,70.0,0.022,1.177,0.581,0.986
18,1.0,1.0000000000000002,70.0,0.023,1.165,0.595,0.987
19,2.0,0.1,69.0,0.058,1.957,1.195,0.956
20,2.0,0.15000000000000002,69.0,0.033,1.309,0.755,0.98
21,2.0,0.2,69.0,0.034,1.18,0.732,0.984
22,2.0,0.25,69.0,0.032,1.096,0.662,0.986
23,2.0,0.3,69.0,0.03,1.018,0.631,0.988
24,2.0,0.35,69.0,0.028,0.966,0.57,0.989
25,2.0,0.39999999999999997,69.0,0.028,1.033,0.58,0.988
26,2.0,0.44999999999999996,69.0,0.023,0.902,0.493,0.991
27,2.0,0.49999999999999994,69.0,0.025,0.966,0.523,0.989
28,2.0,0.5499999999999999,69.0,0.023,0.928,0.499,0.99
29,2.0,0.6,69.0,0.023,0.925,0.496,0.99
30,2.0,0.65,69.0,0.022,0.933,0.482,0.99
31,2.0,0.7000000000000001,69.0,0.021,0.906,0.462,0.991
32,2.0,0.7500000000000001,69.0,0.021,0.928,0.464,0.99
33,2.0,0.8000000000000002,69.0,0.019,0.878,0.438,0.991
34,2.0,0.8500000000000002,69.0,0.019,0.884,0.429,0.991
35,2.0,0.9000000000000002,69.0,0.017,0.872,0.401,0.991
36,2.0,0.9500000000000003,69.0,0.016,0.872,0.398,0.991
37,2.0,1.0000000000000002,69.0,0.017,0.922,0.399,0.99
38,3.0,0.1,69.0,0.071,2.319,1.568,0.941
39,3.0,0.15000000000000002,69.0,0.072,2.236,1.405,0.945
40,3.0,0.2,69.0,0.043,1.615,1.029,0.971
41,3.0,0.25,69.0,0.04,1.535,0.968,0.974
42,3.0,0.3,69.0,0.036,1.325,0.833,0.981
43,3.0,0.35,69.0,0.032,1.311,0.743,0.981
44,3.0,0.39999999999999997,69.0,0.027,1.025,0.608,0.988
45,3.0,0.44999999999999996,69.0,0.025,1.015,0.575,0.989
46,3.0,0.49999999999999994,69.0,0.025,1.046,0.569,0.988
47,3.0,0.5499999999999999,69.0,0.024,1.039,0.568,0.988
48,3.0,0.6,69.0,0.024,1.012,0.564,0.989
49,3.0,0.65,69.0,0.024,1.034,0.569,0.988
50,3.0,0.7000000000000001,69.0,0.021,0.975,0.518,0.989
51,3.0,0.7500000000000001,69.0,0.02,0.967,0.508,0.99
52,3.0,0.8000000000000002,69.0,0.02,0.92,0.502,0.991
53,3.0,0.8500000000000002,69.0,0.019,0.94,0.479,0.99
54,3.0,0.9000000000000002,69.0,0.019,0.931,0.487,0.99
55,3.0,0.9500000000000003,69.0,0.018,0.938,0.469,0.99
56,3.0,1.0000000000000002,69.0,0.02,1.037,0.52,0.988
57,4.0,0.1,69.0,0.055,1.736,1.159,0.97
58,4.0,0.15000000000000002,69.0,0.047,1.349,0.951,0.982
59,4.0,0.2,69.0,0.04,1.139,0.778,0.987
60,4.0,0.25,69.0,0.038,0.976,0.696,0.991
61,4.0,0.3,69.0,0.037,0.831,0.606,0.993
62,4.0,0.35,69.0,0.032,0.738,0.505,0.995
63,4.0,0.39999999999999997,69.0,0.03,0.722,0.472,0.995
64,4.0,0.44999999999999996,69.0,0.03,0.727,0.467,0.995
65,4.0,0.49999999999999994,69.0,0.029,0.683,0.431,0.995
66,4.0,0.5499999999999999,69.0,0.029,0.666,0.444,0.996
67,4.0,0.6,69.0,0.027,0.617,0.425,0.996
68,4.0,0.65,69.0,0.022,0.494,0.382,0.998
69,4.0,0.7000000000000001,69.0,0.018,0.507,0.354,0.997
70,4.0,0.7500000000000001,69.0,0.02,0.471,0.362,0.998
71,4.0,0.8000000000000002,69.0,0.017,0.442,0.313,0.998
72,4.0,0.8500000000000002,69.0,0.018,0.451,0.333,0.998
73,4.0,0.9000000000000002,69.0,0.017,0.467,0.326,0.998
74,4.0,0.9500000000000003,69.0,0.016,0.436,0.303,0.998
75,4.0,1.0000000000000002,69.0,0.015,0.421,0.296,0.998
76,5.0,0.1,69.0,0.11,4.318,2.935,0.8
77,5.0,0.15000000000000002,69.0,0.081,2.537,1.668,0.931
78,5.0,0.2,69.0,0.047,1.69,1.086,0.969
79,5.0,0.25,69.0,0.044,1.48,1.015,0.976
80,5.0,0.3,69.0,0.038,1.496,0.892,0.976
81,5.0,0.35,69.0,0.033,1.596,0.871,0.973
82,5.0,0.39999999999999997,69.0,0.029,1.396,0.753,0.979
83,5.0,0.44999999999999996,69.0,0.031,1.363,0.772,0.98
84,5.0,0.49999999999999994,69.0,0.029,1.424,0.753,0.978
85,5.0,0.5499999999999999,69.0,0.028,1.518,0.77,0.975
86,5.0,0.6,69.0,0.025,1.409,0.709,0.979
87,5.0,0.65,69.0,0.025,1.419,0.708,0.978
88,5.0,0.7000000000000001,69.0,0.025,1.464,0.707,0.977
89,5.0,0.7500000000000001,69.0,0.023,1.256,0.645,0.983
90,5.0,0.8000000000000002,69.0,0.025,1.448,0.711,0.978
91,5.0,0.8500000000000002,69.0,0.024,1.3,0.675,0.982
92,5.0,0.9000000000000002,69.0,0.026,1.376,0.713,0.98
93,5.0,0.9500000000000003,69.0,0.023,1.378,0.689,0.98
94,5.0,1.0000000000000002,69.0,0.024,1.441,0.718,0.978
95,6.0,0.1,69.0,0.062,1.465,1.123,0.979
96,6.0,0.15000000000000002,69.0,0.04,1.081,0.851,0.988
97,6.0,0.2,69.0,0.049,1.164,0.93,0.987
98,6.0,0.25,69.0,0.035,0.97,0.718,0.991
99,6.0,0.3,69.0,0.036,0.927,0.693,0.991
100,6.0,0.35,69.0,0.028,0.737,0.536,0.995
101,6.0,0.39999999999999997,69.0,0.022,0.651,0.475,0.996
102,6.0,0.44999999999999996,69.0,0.022,0.62,0.462,0.996
103,6.0,0.49999999999999994,69.0,0.02,0.595,0.421,0.996
104,6.0,0.5499999999999999,69.0,0.02,0.59,0.418,0.997
105,6.0,0.6,69.0,0.02,0.565,0.414,0.997
106,6.0,0.65,69.0,0.021,0.573,0.42,0.997
107,6.0,0.7000000000000001,69.0,0.018,0.566,0.395,0.997
108,6.0,0.7500000000000001,69.0,0.018,0.554,0.387,0.997
109,6.0,0.8000000000000002,69.0,0.016,0.551,0.362,0.997
110,6.0,0.8500000000000002,69.0,0.016,0.536,0.35,0.997
111,6.0,0.9000000000000002,69.0,0.015,0.521,0.34,0.997
112,6.0,0.9500000000000003,69.0,0.016,0.556,0.366,0.997
113,6.0,1.0000000000000002,69.0,0.016,0.54,0.354,0.997
114,7.0,0.1,69.0,0.046,1.425,0.99,0.976
115,7.0,0.15000000000000002,69.0,0.049,1.47,1.015,0.975
116,7.0,0.2,69.0,0.046,1.216,0.859,0.983
117,7.0,0.25,69.0,0.039,1.04,0.718,0.987
118,7.0,0.3,69.0,0.028,0.876,0.576,0.991
119,7.0,0.35,69.0,0.029,0.866,0.561,0.991
120,7.0,0.39999999999999997,69.0,0.028,0.873,0.535,0.991
121,7.0,0.44999999999999996,69.0,0.027,0.904,0.535,0.99
122,7.0,0.49999999999999994,69.0,0.024,0.81,0.466,0.992
123,7.0,0.5499999999999999,69.0,0.025,0.803,0.503,0.992
124,7.0,0.6,69.0,0.016,0.773,0.381,0.993
