,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,132.0,0.127,38715.601,23233.516,0.753
1,1.0,0.15000000000000002,132.0,0.106,28577.044,17870.796,0.866
2,1.0,0.2,132.0,0.105,28422.326,17864.56,0.867
3,1.0,0.25,132.0,0.105,27541.751,17622.918,0.875
4,1.0,0.3,132.0,0.102,28121.39,16961.948,0.87
5,1.0,0.35,132.0,0.104,28594.846,17141.049,0.865
6,1.0,0.39999999999999997,132.0,0.103,29451.992,16935.466,0.857
7,1.0,0.44999999999999996,132.0,0.101,27616.989,16751.967,0.875
8,1.0,0.49999999999999994,132.0,0.101,28162.654,16658.422,0.87
9,1.0,0.5499999999999999,132.0,0.097,27152.491,16078.443,0.879
10,1.0,0.6,132.0,0.099,29627.567,16526.056,0.856
11,1.0,0.65,132.0,0.095,27138.814,15826.811,0.879
12,1.0,0.7000000000000001,132.0,0.096,26669.887,15749.668,0.883
13,1.0,0.7500000000000001,132.0,0.095,28155.042,15830.579,0.87
14,1.0,0.8000000000000002,132.0,0.092,27293.744,15304.85,0.877
15,1.0,0.8500000000000002,132.0,0.094,27340.054,15463.844,0.877
16,1.0,0.9000000000000002,132.0,0.094,25704.993,15383.764,0.891
17,1.0,0.9500000000000003,132.0,0.094,25891.306,15282.555,0.89
18,1.0,1.0000000000000002,132.0,0.094,26363.887,15587.284,0.886
19,2.0,0.1,132.0,0.111,31536.578,18804.451,0.843
20,2.0,0.15000000000000002,132.0,0.135,30197.003,20909.721,0.856
21,2.0,0.2,132.0,0.104,26512.402,17642.885,0.889
22,2.0,0.25,132.0,0.099,24919.251,16917.351,0.902
23,2.0,0.3,132.0,0.096,24654.096,16608.331,0.904
24,2.0,0.35,132.0,0.092,23330.863,15525.625,0.914
25,2.0,0.39999999999999997,132.0,0.088,22486.577,15275.303,0.92
26,2.0,0.44999999999999996,132.0,0.087,22697.212,15248.328,0.919
27,2.0,0.49999999999999994,132.0,0.083,22730.465,14631.693,0.918
28,2.0,0.5499999999999999,132.0,0.085,22700.001,14991.504,0.919
29,2.0,0.6,132.0,0.08,22271.925,14216.681,0.922
30,2.0,0.65,132.0,0.081,22210.143,14044.88,0.922
31,2.0,0.7000000000000001,132.0,0.08,21788.903,13943.232,0.925
32,2.0,0.7500000000000001,132.0,0.078,21563.572,13664.961,0.926
33,2.0,0.8000000000000002,132.0,0.077,21430.234,13429.532,0.927
34,2.0,0.8500000000000002,132.0,0.076,20813.134,13303.68,0.932
35,2.0,0.9000000000000002,132.0,0.077,20887.279,13406.964,0.931
36,2.0,0.9500000000000003,132.0,0.075,21528.046,13385.478,0.927
37,2.0,1.0000000000000002,132.0,0.076,20769.7,13247.396,0.932
38,3.0,0.1,132.0,0.105,45055.723,22144.122,0.672
39,3.0,0.15000000000000002,132.0,0.098,26682.566,17581.819,0.885
40,3.0,0.2,132.0,0.094,25224.883,16942.785,0.897
41,3.0,0.25,132.0,0.088,23553.422,15816.98,0.91
42,3.0,0.3,132.0,0.087,23067.749,15686.092,0.914
43,3.0,0.35,132.0,0.092,24250.211,16573.898,0.905
44,3.0,0.39999999999999997,132.0,0.091,23436.859,16311.363,0.911
45,3.0,0.44999999999999996,132.0,0.087,22711.098,15580.036,0.917
46,3.0,0.49999999999999994,132.0,0.085,22531.374,15279.263,0.918
47,3.0,0.5499999999999999,132.0,0.084,22613.082,15081.072,0.917
48,3.0,0.6,132.0,0.087,22291.198,15387.292,0.92
49,3.0,0.65,132.0,0.082,22182.298,14594.856,0.921
50,3.0,0.7000000000000001,132.0,0.084,22281.758,15005.226,0.92
51,3.0,0.7500000000000001,132.0,0.08,21803.979,14499.849,0.923
52,3.0,0.8000000000000002,132.0,0.078,21790.079,14035.669,0.923
53,3.0,0.8500000000000002,132.0,0.08,21633.987,14512.498,0.924
54,3.0,0.9000000000000002,132.0,0.08,21489.838,14237.575,0.925
55,3.0,0.9500000000000003,132.0,0.08,21379.125,14397.053,0.926
56,3.0,1.0000000000000002,132.0,0.078,20736.546,13906.713,0.931
57,4.0,0.1,132.0,0.153,42137.138,23448.137,0.717
58,4.0,0.15000000000000002,132.0,0.156,35803.932,21278.181,0.796
59,4.0,0.2,132.0,0.133,34125.221,19024.638,0.814
60,4.0,0.25,132.0,0.126,33807.947,17949.184,0.818
61,4.0,0.3,132.0,0.12,32577.118,17351.747,0.831
62,4.0,0.35,132.0,0.117,33044.785,17377.343,0.826
63,4.0,0.39999999999999997,132.0,0.117,32960.282,17530.96,0.827
64,4.0,0.44999999999999996,132.0,0.119,34256.096,18067.125,0.813
65,4.0,0.49999999999999994,132.0,0.111,33508.301,17068.656,0.821
66,4.0,0.5499999999999999,132.0,0.113,32345.679,17068.808,0.833
67,4.0,0.6,132.0,0.108,33201.051,16488.424,0.824
68,4.0,0.65,132.0,0.105,32012.517,16255.409,0.837
69,4.0,0.7000000000000001,132.0,0.108,31607.767,16547.007,0.841
70,4.0,0.7500000000000001,132.0,0.108,31069.069,16494.378,0.846
71,4.0,0.8000000000000002,132.0,0.106,32658.419,16539.038,0.83
72,4.0,0.8500000000000002,132.0,0.105,30049.381,16075.442,0.856
73,4.0,0.9000000000000002,132.0,0.107,30464.983,16398.91,0.852
74,4.0,0.9500000000000003,132.0,0.104,31138.678,16091.152,0.845
75,4.0,1.0000000000000002,132.0,0.103,30406.796,15766.57,0.853
76,5.0,0.1,131.0,0.126,36571.711,22773.017,0.801
77,5.0,0.15000000000000002,131.0,0.118,27371.173,18841.429,0.889
78,5.0,0.2,131.0,0.116,27219.167,18640.214,0.89
79,5.0,0.25,131.0,0.111,26567.04,17798.438,0.895
80,5.0,0.3,131.0,0.109,26771.723,17294.66,0.894
81,5.0,0.35,131.0,0.107,26481.907,17368.256,0.896
82,5.0,0.39999999999999997,131.0,0.103,25998.321,16421.208,0.9
83,5.0,0.44999999999999996,131.0,0.109,26554.014,17516.854,0.895
84,5.0,0.49999999999999994,131.0,0.104,25869.18,16718.01,0.901
85,5.0,0.5499999999999999,131.0,0.099,26107.4,15942.133,0.899
86,5.0,0.6,131.0,0.098,25682.917,15867.266,0.902
87,5.0,0.65,131.0,0.099,26188.48,16300.927,0.898
88,5.0,0.7000000000000001,131.0,0.096,25616.851,15834.336,0.903
89,5.0,0.7500000000000001,131.0,0.096,25792.77,15746.424,0.901
90,5.0,0.8000000000000002,131.0,0.096,26101.165,15812.693,0.899
91,5.0,0.8500000000000002,131.0,0.095,25653.938,15511.132,0.902
92,5.0,0.9000000000000002,131.0,0.096,26253.719,15960.913,0.898
93,5.0,0.9500000000000003,131.0,0.093,25811.877,15511.406,0.901
94,5.0,1.0000000000000002,131.0,0.094,25727.119,15656.54,0.902
95,6.0,0.1,131.0,0.125,33926.51,21433.787,0.84
96,6.0,0.15000000000000002,131.0,0.117,29148.571,19020.723,0.882
97,6.0,0.2,131.0,0.115,28646.676,19068.481,0.886
98,6.0,0.25,131.0,0.111,27679.951,18342.128,0.894
99,6.0,0.3,131.0,0.111,27148.898,17799.002,0.898
100,6.0,0.35,131.0,0.103,25316.09,16247.866,0.911
101,6.0,0.39999999999999997,131.0,0.104,25500.918,16721.298,0.91
102,6.0,0.44999999999999996,131.0,0.101,25894.528,16268.57,0.907
103,6.0,0.49999999999999994,131.0,0.099,25193.687,15962.85,0.912
104,6.0,0.5499999999999999,131.0,0.097,26709.164,15943.22,0.901
105,6.0,0.6,131.0,0.096,25983.747,15617.561,0.906
106,6.0,0.65,131.0,0.095,24767.071,15244.323,0.915
107,6.0,0.7000000000000001,131.0,0.094,25308.921,15333.686,0.911
108,6.0,0.7500000000000001,131.0,0.091,24382.68,14844.737,0.918
109,6.0,0.8000000000000002,131.0,0.094,24758.994,15020.648,0.915
110,6.0,0.8500000000000002,131.0,0.095,24879.665,15369.583,0.914
111,6.0,0.9000000000000002,131.0,0.092,24415.201,15011.108,0.917
112,6.0,0.9500000000000003,131.0,0.093,25110.129,15408.178,0.913
113,6.0,1.0000000000000002,131.0,0.095,24663.2,15277.173,0.916
114,7.0,0.1,131.0,0.108,47659.73,22223.329,0.732
115,7.0,0.15000000000000002,131.0,0.114,37515.936,21524.582,0.834
116,7.0,0.2,131.0,0.1,36568.307,19780.179,0.842
117,7.0,0.25,131.0,0.094,37474.878,19190.648,0.834
118,7.0,0.3,131.0,0.096,36930.692,19598.165,0.839
119,7.0,0.35,131.0,0.089,36820.347,18631.194,0.84
120,7.0,0.39999999999999997,131.0,0.085,34486.524,17594.666,0.859
121,7.0,0.44999999999999996,131.0,0.083,34265.452,17082.686,0.861
122,7.0,0.49999999999999994,131.0,0.083,34349.034,16896.095,0.861
123,7.0,0.5499999999999999,131.0,0.083,32687.285,16724.189,0.874
124,7.0,0.6,131.0,0.085,33449.242,17220.687,0.868
125,7.0,0.65,131.0,0.082,32818.116,16684.034,0.873
126,7.0,0.7000000000000001,131.0,0.082,35802.241,16840.776,0.849
127,7.0,0.7500000000000001,131.0,0.082,34438.14,16971.683,0.86
128,7.0,0.8000000000000002,131.0,0.079,33228.556,16351.728,0.87
129,7.0,0.8500000000000002,131.0,0.08,32395.695,16552.578,0.876
