,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,132.0,0.126,36414.019,21952.803,0.782
1,1.0,0.15000000000000002,132.0,0.123,30205.022,20173.615,0.85
2,1.0,0.2,132.0,0.119,30769.247,19275.273,0.844
3,1.0,0.25,132.0,0.107,28556.75,17679.08,0.866
4,1.0,0.3,132.0,0.106,28538.758,17931.24,0.866
5,1.0,0.35,132.0,0.104,28236.144,17354.616,0.869
6,1.0,0.39999999999999997,132.0,0.101,29522.983,16699.573,0.857
7,1.0,0.44999999999999996,132.0,0.104,28719.651,17092.363,0.864
8,1.0,0.49999999999999994,132.0,0.101,26968.599,16409.563,0.88
9,1.0,0.5499999999999999,132.0,0.101,28314.108,16489.181,0.868
10,1.0,0.6,132.0,0.099,27566.812,16487.43,0.875
11,1.0,0.65,132.0,0.099,27688.319,16277.048,0.874
12,1.0,0.7000000000000001,132.0,0.094,25903.381,15254.885,0.89
13,1.0,0.7500000000000001,132.0,0.096,26486.771,15812.688,0.885
14,1.0,0.8000000000000002,132.0,0.099,27958.84,16242.973,0.871
15,1.0,0.8500000000000002,132.0,0.094,26532.253,15478.227,0.884
16,1.0,0.9000000000000002,132.0,0.094,26694.909,15674.373,0.883
17,1.0,0.9500000000000003,132.0,0.091,25619.257,14870.662,0.892
18,1.0,1.0000000000000002,132.0,0.093,25703.107,15369.806,0.891
19,2.0,0.1,132.0,0.103,31624.352,19048.941,0.842
20,2.0,0.15000000000000002,132.0,0.116,28217.797,19707.693,0.874
21,2.0,0.2,132.0,0.105,25800.724,17797.31,0.895
22,2.0,0.25,132.0,0.093,24519.91,16455.992,0.905
23,2.0,0.3,132.0,0.09,24927.021,15841.598,0.902
24,2.0,0.35,132.0,0.091,24298.683,16026.951,0.907
25,2.0,0.39999999999999997,132.0,0.084,23241.562,14723.438,0.915
26,2.0,0.44999999999999996,132.0,0.087,24039.928,15212.773,0.909
27,2.0,0.49999999999999994,132.0,0.085,22488.075,14830.732,0.92
28,2.0,0.5499999999999999,132.0,0.084,23159.423,14636.826,0.915
29,2.0,0.6,132.0,0.079,23182.393,14067.58,0.915
30,2.0,0.65,132.0,0.082,22444.471,14248.254,0.92
31,2.0,0.7000000000000001,132.0,0.079,22926.511,14198.121,0.917
32,2.0,0.7500000000000001,132.0,0.079,22658.57,14063.967,0.919
33,2.0,0.8000000000000002,132.0,0.075,21350.501,13221.077,0.928
34,2.0,0.8500000000000002,132.0,0.078,22041.663,13823.636,0.923
35,2.0,0.9000000000000002,132.0,0.073,21480.807,13304.254,0.927
36,2.0,0.9500000000000003,132.0,0.074,20950.575,13272.298,0.931
37,2.0,1.0000000000000002,132.0,0.073,21575.639,13170.464,0.926
38,3.0,0.1,132.0,0.108,41722.59,22149.255,0.719
39,3.0,0.15000000000000002,132.0,0.102,27393.881,18160.849,0.879
40,3.0,0.2,132.0,0.09,25417.835,16670.927,0.896
41,3.0,0.25,132.0,0.089,24377.164,16171.267,0.904
42,3.0,0.3,132.0,0.089,23720.918,16266.698,0.909
43,3.0,0.35,132.0,0.089,23388.014,16113.778,0.912
44,3.0,0.39999999999999997,132.0,0.085,23030.593,15489.76,0.914
45,3.0,0.44999999999999996,132.0,0.091,23381.178,16339.901,0.912
46,3.0,0.49999999999999994,132.0,0.087,23385.76,15788.579,0.912
47,3.0,0.5499999999999999,132.0,0.082,21988.284,14741.883,0.922
48,3.0,0.6,132.0,0.083,22049.257,14940.244,0.921
49,3.0,0.65,132.0,0.081,21625.113,14644.35,0.924
50,3.0,0.7000000000000001,132.0,0.087,22826.637,15699.705,0.916
51,3.0,0.7500000000000001,132.0,0.081,22415.123,14803.233,0.919
52,3.0,0.8000000000000002,132.0,0.081,21635.857,14649.784,0.924
53,3.0,0.8500000000000002,132.0,0.079,21658.362,14263.928,0.924
54,3.0,0.9000000000000002,132.0,0.081,21706.167,14616.88,0.924
55,3.0,0.9500000000000003,132.0,0.078,21102.943,14066.252,0.928
56,3.0,1.0000000000000002,132.0,0.078,21482.908,14170.378,0.925
57,4.0,0.1,132.0,0.138,42723.905,20825.158,0.709
58,4.0,0.15000000000000002,132.0,0.147,36015.255,21218.286,0.793
59,4.0,0.2,132.0,0.128,33096.085,18820.811,0.825
60,4.0,0.25,132.0,0.12,31759.389,18051.242,0.839
61,4.0,0.3,132.0,0.114,31313.515,17336.6,0.844
62,4.0,0.35,132.0,0.117,32473.656,17629.934,0.832
63,4.0,0.39999999999999997,132.0,0.108,32577.688,16609.727,0.831
64,4.0,0.44999999999999996,132.0,0.109,30761.185,16867.629,0.849
65,4.0,0.49999999999999994,132.0,0.109,29718.305,16545.137,0.859
66,4.0,0.5499999999999999,132.0,0.108,32177.261,16755.245,0.835
67,4.0,0.6,132.0,0.112,29981.629,16707.02,0.857
68,4.0,0.65,132.0,0.112,30220.389,16575.568,0.854
69,4.0,0.7000000000000001,132.0,0.11,30421.861,16329.562,0.852
70,4.0,0.7500000000000001,132.0,0.106,29537.809,16172.106,0.861
71,4.0,0.8000000000000002,132.0,0.104,29842.445,15638.64,0.858
72,4.0,0.8500000000000002,132.0,0.107,30780.616,16211.172,0.849
73,4.0,0.9000000000000002,132.0,0.104,30170.154,15794.523,0.855
74,4.0,0.9500000000000003,132.0,0.104,30652.694,15946.419,0.85
75,4.0,1.0000000000000002,132.0,0.103,30652.516,15800.866,0.85
76,5.0,0.1,131.0,0.125,40194.12,23553.108,0.76
77,5.0,0.15000000000000002,131.0,0.118,28857.384,19340.93,0.876
78,5.0,0.2,131.0,0.111,27206.891,18160.78,0.89
79,5.0,0.25,131.0,0.11,26980.464,18012.346,0.892
80,5.0,0.3,131.0,0.112,28359.412,18317.846,0.881
81,5.0,0.35,131.0,0.106,26871.599,17564.916,0.893
82,5.0,0.39999999999999997,131.0,0.105,26733.364,17343.783,0.894
83,5.0,0.44999999999999996,131.0,0.105,26996.241,17410.783,0.892
84,5.0,0.49999999999999994,131.0,0.104,27380.139,17425.974,0.889
85,5.0,0.5499999999999999,131.0,0.102,26422.417,16779.681,0.896
86,5.0,0.6,131.0,0.103,26238.609,16968.529,0.898
87,5.0,0.65,131.0,0.101,26947.768,16840.168,0.892
88,5.0,0.7000000000000001,131.0,0.099,26143.678,16200.497,0.899
89,5.0,0.7500000000000001,131.0,0.102,26509.174,16586.064,0.896
90,5.0,0.8000000000000002,131.0,0.1,26917.731,16453.471,0.892
91,5.0,0.8500000000000002,131.0,0.102,27165.321,16657.925,0.89
92,5.0,0.9000000000000002,131.0,0.1,27216.51,16614.166,0.89
93,5.0,0.9500000000000003,131.0,0.095,25773.264,15849.022,0.901
94,5.0,1.0000000000000002,131.0,0.096,26261.187,15867.617,0.898
95,6.0,0.1,131.0,0.146,39135.073,24092.852,0.787
96,6.0,0.15000000000000002,131.0,0.136,32077.293,21409.584,0.857
97,6.0,0.2,131.0,0.112,29591.764,18813.982,0.878
98,6.0,0.25,131.0,0.105,26792.267,16757.087,0.9
99,6.0,0.3,131.0,0.105,25182.622,16322.331,0.912
100,6.0,0.35,131.0,0.104,26288.719,16385.831,0.904
101,6.0,0.39999999999999997,131.0,0.104,25826.686,16356.578,0.907
102,6.0,0.44999999999999996,131.0,0.1,24857.577,15854.294,0.914
103,6.0,0.49999999999999994,131.0,0.1,25681.457,15934.387,0.908
104,6.0,0.5499999999999999,131.0,0.1,25421.992,16169.962,0.91
105,6.0,0.6,131.0,0.097,25170.0,15668.815,0.912
106,6.0,0.65,131.0,0.099,25210.57,15840.791,0.912
107,6.0,0.7000000000000001,131.0,0.098,25789.169,15719.346,0.908
108,6.0,0.7500000000000001,131.0,0.097,25086.591,15447.721,0.913
109,6.0,0.8000000000000002,131.0,0.096,24486.158,15362.496,0.917
110,6.0,0.8500000000000002,131.0,0.096,26004.611,15632.297,0.906
