,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,132.0,0.128,40808.086,23516.557,0.726
1,1.0,0.15000000000000002,132.0,0.129,30824.488,20652.978,0.844
2,1.0,0.2,132.0,0.108,29135.952,18680.325,0.86
3,1.0,0.25,132.0,0.105,29190.018,18233.907,0.86
4,1.0,0.3,132.0,0.101,27737.364,16939.35,0.873
5,1.0,0.35,132.0,0.091,26837.947,15475.35,0.882
6,1.0,0.39999999999999997,132.0,0.096,27083.194,16123.905,0.879
7,1.0,0.44999999999999996,132.0,0.096,26960.846,16223.676,0.88
8,1.0,0.49999999999999994,132.0,0.098,26750.796,16452.453,0.882
9,1.0,0.5499999999999999,132.0,0.097,26083.252,16466.149,0.888
10,1.0,0.6,132.0,0.095,26194.276,16154.343,0.887
11,1.0,0.65,132.0,0.096,27045.866,16137.729,0.88
12,1.0,0.7000000000000001,132.0,0.092,25843.171,15656.136,0.89
13,1.0,0.7500000000000001,132.0,0.091,25522.33,15186.305,0.893
14,1.0,0.8000000000000002,132.0,0.092,25526.74,15451.598,0.893
15,1.0,0.8500000000000002,132.0,0.092,25631.007,15219.921,0.892
16,1.0,0.9000000000000002,132.0,0.093,24969.599,15422.2,0.897
17,1.0,0.9500000000000003,132.0,0.093,26387.972,15400.929,0.885
18,1.0,1.0000000000000002,132.0,0.092,25075.144,15239.478,0.897
19,2.0,0.1,132.0,0.109,33879.325,20517.074,0.818
20,2.0,0.15000000000000002,132.0,0.123,29061.123,20334.733,0.866
21,2.0,0.2,132.0,0.1,23754.689,16835.914,0.911
22,2.0,0.25,132.0,0.1,23846.969,16747.072,0.91
23,2.0,0.3,132.0,0.101,24450.979,17130.207,0.905
24,2.0,0.35,132.0,0.092,23104.225,15718.629,0.916
25,2.0,0.39999999999999997,132.0,0.091,24315.117,15748.595,0.907
26,2.0,0.44999999999999996,132.0,0.085,22411.654,14718.683,0.921
27,2.0,0.49999999999999994,132.0,0.09,23438.122,15464.878,0.913
28,2.0,0.5499999999999999,132.0,0.084,22342.568,14501.585,0.921
29,2.0,0.6,132.0,0.084,21657.734,14453.1,0.926
30,2.0,0.65,132.0,0.085,22265.649,14437.519,0.922
31,2.0,0.7000000000000001,132.0,0.086,22490.46,14653.145,0.92
32,2.0,0.7500000000000001,132.0,0.079,21891.84,13641.583,0.924
33,2.0,0.8000000000000002,132.0,0.082,21663.03,14133.072,0.926
34,2.0,0.8500000000000002,132.0,0.079,21208.144,13649.876,0.929
35,2.0,0.9000000000000002,132.0,0.079,21951.371,13729.616,0.924
36,2.0,0.9500000000000003,132.0,0.076,21300.366,13312.441,0.928
37,2.0,1.0000000000000002,132.0,0.076,21969.754,13446.475,0.924
38,3.0,0.1,132.0,0.107,41190.768,21879.073,0.726
39,3.0,0.15000000000000002,132.0,0.105,27266.903,18442.408,0.88
40,3.0,0.2,132.0,0.099,25193.775,17233.247,0.897
41,3.0,0.25,132.0,0.103,24341.782,17429.178,0.904
