,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,132.0,0.128,37284.154,22068.319,0.771
1,1.0,0.15000000000000002,132.0,0.124,28751.286,19205.234,0.864
2,1.0,0.2,132.0,0.113,30389.989,18483.302,0.848
3,1.0,0.25,132.0,0.101,26946.932,16733.212,0.881
4,1.0,0.3,132.0,0.097,25811.9,15963.891,0.89
5,1.0,0.35,132.0,0.096,26744.392,15978.494,0.882
6,1.0,0.39999999999999997,132.0,0.095,26854.133,15715.619,0.881
7,1.0,0.44999999999999996,132.0,0.098,27486.038,16477.652,0.876
8,1.0,0.49999999999999994,132.0,0.096,27492.07,16107.675,0.876
9,1.0,0.5499999999999999,132.0,0.098,28592.628,16500.675,0.866
10,1.0,0.6,132.0,0.093,26894.856,15790.267,0.881
11,1.0,0.65,132.0,0.095,26609.977,15568.122,0.884
12,1.0,0.7000000000000001,132.0,0.094,26729.3,15447.171,0.882
13,1.0,0.7500000000000001,132.0,0.096,27110.083,15816.616,0.879
14,1.0,0.8000000000000002,132.0,0.096,27123.804,15721.555,0.879
15,1.0,0.8500000000000002,132.0,0.094,26551.428,15625.388,0.884
16,1.0,0.9000000000000002,132.0,0.094,26982.181,15471.903,0.88
17,1.0,0.9500000000000003,132.0,0.093,26187.194,15558.783,0.887
18,1.0,1.0000000000000002,132.0,0.095,27218.546,16017.489,0.878
19,2.0,0.1,132.0,0.106,29048.33,18820.667,0.867
20,2.0,0.15000000000000002,132.0,0.118,26818.229,19431.909,0.886
21,2.0,0.2,132.0,0.108,24262.124,17348.408,0.907
22,2.0,0.25,132.0,0.102,23321.173,16779.111,0.914
23,2.0,0.3,132.0,0.095,22996.938,15865.12,0.916
24,2.0,0.35,132.0,0.097,24475.309,16356.736,0.905
25,2.0,0.39999999999999997,132.0,0.096,23789.958,16353.901,0.911
26,2.0,0.44999999999999996,132.0,0.101,24027.035,17020.108,0.909
27,2.0,0.49999999999999994,132.0,0.097,24535.682,16560.055,0.905
28,2.0,0.5499999999999999,132.0,0.093,24332.627,16042.024,0.906
29,2.0,0.6,132.0,0.094,23536.753,16225.913,0.912
30,2.0,0.65,132.0,0.091,23294.765,15730.381,0.914
31,2.0,0.7000000000000001,132.0,0.088,22552.097,15223.598,0.92
32,2.0,0.7500000000000001,132.0,0.082,22112.058,14388.422,0.923
33,2.0,0.8000000000000002,132.0,0.084,21877.959,14401.723,0.924
34,2.0,0.8500000000000002,132.0,0.083,22232.836,14404.766,0.922
35,2.0,0.9000000000000002,132.0,0.08,21309.186,13918.637,0.928
36,2.0,0.9500000000000003,132.0,0.076,21854.373,13628.22,0.924
37,2.0,1.0000000000000002,132.0,0.077,21236.887,13760.188,0.929
38,3.0,0.1,132.0,0.107,31646.344,20151.181,0.838
39,3.0,0.15000000000000002,132.0,0.098,27013.958,17611.054,0.882
40,3.0,0.2,132.0,0.095,25698.91,17123.202,0.893
41,3.0,0.25,132.0,0.087,25313.471,16206.165,0.896
42,3.0,0.3,132.0,0.083,25809.302,15662.401,0.892
43,3.0,0.35,132.0,0.081,24547.4,15165.161,0.903
44,3.0,0.39999999999999997,132.0,0.084,24948.562,15636.393,0.899
45,3.0,0.44999999999999996,132.0,0.083,23966.698,15302.446,0.907
46,3.0,0.49999999999999994,132.0,0.086,23157.545,15542.636,0.913
47,3.0,0.5499999999999999,132.0,0.081,23046.298,14595.452,0.914
48,3.0,0.6,132.0,0.085,22936.429,15323.031,0.915
49,3.0,0.65,132.0,0.082,22699.923,14937.632,0.917
50,3.0,0.7000000000000001,132.0,0.081,22401.766,14631.118,0.919
51,3.0,0.7500000000000001,132.0,0.081,22537.845,14706.152,0.918
52,3.0,0.8000000000000002,132.0,0.081,22328.119,14589.85,0.919
53,3.0,0.8500000000000002,132.0,0.079,22311.487,14430.266,0.92
54,3.0,0.9000000000000002,132.0,0.077,21668.194,13997.362,0.924
55,3.0,0.9500000000000003,132.0,0.075,21329.263,13787.248,0.927
56,3.0,1.0000000000000002,132.0,0.077,22237.133,14084.507,0.92
57,4.0,0.1,132.0,0.152,38819.151,22784.711,0.76
58,4.0,0.15000000000000002,132.0,0.157,35915.728,21924.836,0.794
59,4.0,0.2,132.0,0.148,33964.436,20721.006,0.816
60,4.0,0.25,132.0,0.137,33824.717,19162.963,0.818
61,4.0,0.3,132.0,0.133,32104.876,18362.007,0.836
62,4.0,0.35,132.0,0.128,32468.245,17704.879,0.832
63,4.0,0.39999999999999997,132.0,0.129,33720.845,18577.943,0.819
64,4.0,0.44999999999999996,132.0,0.127,32427.255,17634.499,0.832
65,4.0,0.49999999999999994,132.0,0.12,30028.494,17365.376,0.856
66,4.0,0.5499999999999999,132.0,0.12,33143.622,17676.619,0.825
67,4.0,0.6,132.0,0.116,32444.195,17158.506,0.832
68,4.0,0.65,132.0,0.11,31915.187,16466.081,0.838
69,4.0,0.7000000000000001,132.0,0.112,31535.518,16896.561,0.841
70,4.0,0.7500000000000001,132.0,0.109,31477.479,16449.741,0.842
71,4.0,0.8000000000000002,132.0,0.11,33121.714,16837.926,0.825
72,4.0,0.8500000000000002,132.0,0.104,30589.677,15981.832,0.851
73,4.0,0.9000000000000002,132.0,0.104,31270.609,15996.84,0.844
74,4.0,0.9500000000000003,132.0,0.105,31049.479,16068.677,0.846
75,4.0,1.0000000000000002,132.0,0.104,30623.126,16175.081,0.85
76,5.0,0.1,131.0,0.127,39058.711,22897.381,0.773
77,5.0,0.15000000000000002,131.0,0.128,31622.199,20786.234,0.852
78,5.0,0.2,131.0,0.112,29159.418,18538.188,0.874
79,5.0,0.25,131.0,0.109,27388.282,18003.406,0.889
80,5.0,0.3,131.0,0.105,26708.036,17193.218,0.894
81,5.0,0.35,131.0,0.108,27628.508,17722.859,0.887
82,5.0,0.39999999999999997,131.0,0.104,27635.202,16966.009,0.887
83,5.0,0.44999999999999996,131.0,0.102,26865.87,16321.156,0.893
84,5.0,0.49999999999999994,131.0,0.103,27234.532,17026.365,0.89
85,5.0,0.5499999999999999,131.0,0.101,26313.385,16486.53,0.897
86,5.0,0.6,131.0,0.102,26680.913,16711.305,0.894
87,5.0,0.65,131.0,0.102,26881.253,16659.411,0.893
88,5.0,0.7000000000000001,131.0,0.101,26703.219,16630.42,0.894
89,5.0,0.7500000000000001,131.0,0.098,25815.567,16277.145,0.901
90,5.0,0.8000000000000002,131.0,0.1,26451.697,16452.549,0.896
91,5.0,0.8500000000000002,131.0,0.099,26602.101,16255.505,0.895
92,5.0,0.9000000000000002,131.0,0.101,27718.907,16803.095,0.886
93,5.0,0.9500000000000003,131.0,0.097,26715.095,16298.116,0.894
94,5.0,1.0000000000000002,131.0,0.096,26518.163,16180.44,0.896
95,6.0,0.1,131.0,0.136,36083.437,21696.775,0.819
96,6.0,0.15000000000000002,131.0,0.127,29022.126,18528.735,0.883
97,6.0,0.2,131.0,0.117,26025.825,17428.418,0.906
98,6.0,0.25,131.0,0.116,26573.686,17661.035,0.902
99,6.0,0.3,131.0,0.118,27816.007,17967.176,0.893
100,6.0,0.35,131.0,0.114,27548.546,17395.827,0.895
101,6.0,0.39999999999999997,131.0,0.112,27633.015,17473.017,0.894
102,6.0,0.44999999999999996,131.0,0.111,26535.37,16834.717,0.902
103,6.0,0.49999999999999994,131.0,0.109,26816.041,16517.134,0.9
104,6.0,0.5499999999999999,131.0,0.107,26434.64,17099.618,0.903
105,6.0,0.6,131.0,0.104,25426.013,16217.554,0.91
106,6.0,0.65,131.0,0.106,26714.234,16499.329,0.901
107,6.0,0.7000000000000001,131.0,0.1,25974.184,15987.643,0.906
108,6.0,0.7500000000000001,131.0,0.1,24957.263,15605.793,0.914
109,6.0,0.8000000000000002,131.0,0.098,25981.275,15926.432,0.906
110,6.0,0.8500000000000002,131.0,0.099,25822.058,16071.191,0.907
111,6.0,0.9000000000000002,131.0,0.1,25515.712,15871.038,0.91
112,6.0,0.9500000000000003,131.0,0.096,25071.804,15555.534,0.913
113,6.0,1.0000000000000002,131.0,0.097,24672.119,15577.42,0.916
114,7.0,0.1,131.0,0.115,56638.67,25826.546,0.621
115,7.0,0.15000000000000002,131.0,0.104,36931.452,19970.218,0.839
116,7.0,0.2,131.0,0.094,36051.09,19062.777,0.846
117,7.0,0.25,131.0,0.093,35261.001,18630.196,0.853
118,7.0,0.3,131.0,0.096,35139.844,18993.018,0.854
119,7.0,0.35,131.0,0.096,36251.42,19002.054,0.845
120,7.0,0.39999999999999997,131.0,0.091,34970.432,18275.749,0.855
121,7.0,0.44999999999999996,131.0,0.091,35538.946,17918.269,0.851
122,7.0,0.49999999999999994,131.0,0.088,34627.92,17551.523,0.858
123,7.0,0.5499999999999999,131.0,0.089,33729.61,17627.671,0.866
124,7.0,0.6,131.0,0.085,34943.609,17505.181,0.856
125,7.0,0.65,131.0,0.084,34864.373,17121.966,0.856
126,7.0,0.7000000000000001,131.0,0.084,35531.431,16876.516,0.851
127,7.0,0.7500000000000001,131.0,0.083,34902.214,17002.91,0.856
128,7.0,0.8000000000000002,131.0,0.081,34655.456,16517.307,0.858
129,7.0,0.8500000000000002,131.0,0.082,34339.573,16877.638,0.861
130,7.0,0.9000000000000002,131.0,0.08,34521.241,16775.405,0.859
131,7.0,0.9500000000000003,131.0,0.078,34742.534,16438.563,0.857
132,7.0,1.0000000000000002,131.0,0.078,33875.426,16376.316,0.864
133,8.0,0.1,131.0,0.108,29788.841,19783.484,0.82
134,8.0,0.15000000000000002,131.0,0.118,25825.698,19762.339,0.865
135,8.0,0.2,131.0,0.105,24835.795,18181.648,0.875
136,8.0,0.25,131.0,0.103,24756.207,17935.474,0.876
137,8.0,0.3,131.0,0.098,23532.948,17266.607,0.888
138,8.0,0.35,131.0,0.094,22510.707,16462.851,0.897
139,8.0,0.39999999999999997,131.0,0.097,22508.508,16892.723,0.897
140,8.0,0.44999999999999996,131.0,0.099,22349.345,16809.111,0.899
141,8.0,0.49999999999999994,131.0,0.091,20855.8,15575.521,0.912
142,8.0,0.5499999999999999,131.0,0.091,21076.311,15549.091,0.91
143,8.0,0.6,131.0,0.09,21290.102,15548.306,0.908
144,8.0,0.65,131.0,0.085,19926.352,14517.96,0.92
145,8.0,0.7000000000000001,131.0,0.084,19829.16,14328.102,0.92
146,8.0,0.7500000000000001,131.0,0.082,19389.931,13934.458,0.924
147,8.0,0.8000000000000002,131.0,0.081,19132.599,13576.759,0.926
148,8.0,0.8500000000000002,131.0,0.08,18680.81,13507.054,0.929
149,8.0,0.9000000000000002,131.0,0.08,19236.689,13789.945,0.925
150,8.0,0.9500000000000003,131.0,0.079,19089.168,13526.017,0.926
151,8.0,1.0000000000000002,131.0,0.076,19176.995,13282.521,0.926
152,9.0,0.1,131.0,0.103,30408.198,17331.064,0.824
153,9.0,0.15000000000000002,131.0,0.104,23123.131,16118.881,0.899
154,9.0,0.2,131.0,0.093,22945.082,15604.037,0.9
155,9.0,0.25,131.0,0.088,22373.778,15133.808,0.905
156,9.0,0.3,131.0,0.085,22926.367,14679.597,0.9
157,9.0,0.35,131.0,0.081,22137.315,14050.184,0.907
158,9.0,0.39999999999999997,131.0,0.081,21553.828,14002.109,0.912
159,9.0,0.44999999999999996,131.0,0.086,22176.92,14829.431,0.907
160,9.0,0.49999999999999994,131.0,0.088,23280.288,15217.081,0.897
161,9.0,0.5499999999999999,131.0,0.085,21983.161,14698.552,0.908
162,9.0,0.6,131.0,0.087,22965.86,15141.077,0.9
163,9.0,0.65,131.0,0.086,22153.025,14458.406,0.907
164,9.0,0.7000000000000001,131.0,0.086,22045.502,14573.455,0.908
165,9.0,0.7500000000000001,131.0,0.083,20678.653,13861.447,0.919
166,9.0,0.8000000000000002,131.0,0.082,19637.542,13543.881,0.927
167,9.0,0.8500000000000002,131.0,0.085,21841.19,14273.727,0.909
168,9.0,0.9000000000000002,131.0,0.083,20507.429,14017.542,0.92
169,9.0,0.9500000000000003,131.0,0.078,19457.498,13214.861,0.928
170,9.0,1.0000000000000002,131.0,0.079,19510.684,13259.185,0.928
171,10.0,0.1,131.0,0.105,24887.848,17048.592,0.865
172,10.0,0.15000000000000002,131.0,0.108,23057.952,16454.623,0.884
173,10.0,0.2,131.0,0.097,20141.335,14990.491,0.911
174,10.0,0.25,131.0,0.092,20171.821,14412.566,0.911
175,10.0,0.3,131.0,0.09,18910.837,14129.548,0.922
176,10.0,0.35,131.0,0.09,20572.909,14505.286,0.907
177,10.0,0.39999999999999997,131.0,0.086,19685.225,14085.737,0.915
178,10.0,0.44999999999999996,131.0,0.084,19390.274,13663.736,0.918
179,10.0,0.49999999999999994,131.0,0.081,19317.484,13114.768,0.918
180,10.0,0.5499999999999999,131.0,0.087,20691.071,14079.072,0.906
181,10.0,0.6,131.0,0.081,19761.239,13300.264,0.915
182,10.0,0.65,131.0,0.08,19362.904,12957.154,0.918
183,10.0,0.7000000000000001,131.0,0.081,18683.008,13002.197,0.924
184,10.0,0.7500000000000001,131.0,0.076,19152.468,12537.647,0.92
185,10.0,0.8000000000000002,131.0,0.079,19144.858,13013.952,0.92
186,10.0,0.8500000000000002,131.0,0.075,18450.902,12337.115,0.926
187,10.0,0.9000000000000002,131.0,0.075,18153.306,12301.307,0.928
188,10.0,0.9500000000000003,131.0,0.077,18737.028,12586.582,0.923
189,10.0,1.0000000000000002,131.0,0.077,18699.525,12528.814,0.924
