,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.173,5342.685,2500.787,0.731
1,1.0,0.15000000000000002,121.0,0.153,4175.401,1675.941,0.836
2,1.0,0.2,121.0,0.146,4229.811,1699.302,0.832
3,1.0,0.25,121.0,0.164,4141.705,1672.048,0.839
4,1.0,0.3,121.0,0.144,4131.865,1624.673,0.839
5,1.0,0.35,121.0,0.163,4278.869,1738.063,0.828
6,1.0,0.39999999999999997,121.0,0.23,4382.415,2018.731,0.819
7,1.0,0.44999999999999996,121.0,0.225,4419.389,2094.537,0.816
8,1.0,0.49999999999999994,121.0,0.194,4311.049,1950.186,0.825
9,1.0,0.5499999999999999,121.0,0.199,4404.677,2032.89,0.817
10,1.0,0.6,121.0,0.246,4388.644,2154.099,0.819
11,1.0,0.65,121.0,0.26,4406.088,2245.482,0.817
12,1.0,0.7000000000000001,121.0,0.273,4358.413,2303.285,0.821
13,1.0,0.7500000000000001,121.0,0.291,4408.742,2426.941,0.817
14,1.0,0.8000000000000002,121.0,0.317,4386.372,2485.116,0.819
15,1.0,0.8500000000000002,121.0,0.336,4285.389,2464.008,0.827
16,1.0,0.9000000000000002,121.0,0.349,4381.369,2564.993,0.819
17,1.0,0.9500000000000003,121.0,0.366,4389.379,2589.256,0.819
18,2.0,0.1,121.0,0.351,4772.192,2824.938,0.866
19,2.0,0.15000000000000002,121.0,0.31,4714.868,2694.088,0.869
20,2.0,0.2,121.0,0.34,4582.392,2437.179,0.876
21,2.0,0.25,121.0,0.201,4420.336,2091.001,0.885
22,2.0,0.3,121.0,0.2,4425.999,2071.326,0.884
23,2.0,0.35,121.0,0.241,4708.692,2292.221,0.869
24,2.0,0.39999999999999997,121.0,0.211,4549.704,2109.118,0.878
25,2.0,0.44999999999999996,121.0,0.232,4537.341,2215.242,0.879
26,2.0,0.49999999999999994,121.0,0.278,4415.513,2230.964,0.885
27,2.0,0.5499999999999999,121.0,0.219,4423.109,2102.27,0.885
28,2.0,0.6,121.0,0.247,4558.487,2233.574,0.877
29,2.0,0.65,121.0,0.229,4520.03,2190.192,0.879
30,2.0,0.7000000000000001,121.0,0.245,4518.499,2232.524,0.88
31,2.0,0.7500000000000001,121.0,0.233,4485.258,2202.611,0.881
32,2.0,0.8000000000000002,121.0,0.24,4443.081,2235.416,0.884
33,2.0,0.8500000000000002,121.0,0.242,4357.356,2200.359,0.888
34,2.0,0.9000000000000002,121.0,0.241,4378.649,2200.905,0.887
35,2.0,0.9500000000000003,121.0,0.243,4398.549,2244.097,0.886
36,3.0,0.1,121.0,0.409,5283.649,3188.292,0.804
37,3.0,0.15000000000000002,121.0,0.269,4549.435,2460.427,0.855
38,3.0,0.2,121.0,0.216,4393.799,2085.048,0.864
39,3.0,0.25,121.0,0.268,4386.951,2215.412,0.865
40,3.0,0.3,121.0,0.232,4349.445,2028.772,0.867
41,3.0,0.35,121.0,0.224,4298.493,1886.619,0.87
42,3.0,0.39999999999999997,121.0,0.267,4403.751,2113.515,0.864
43,3.0,0.44999999999999996,121.0,0.264,4466.212,2150.216,0.86
44,3.0,0.49999999999999994,121.0,0.258,4417.873,2146.558,0.863
45,3.0,0.5499999999999999,121.0,0.281,4729.142,2336.898,0.843
46,3.0,0.6,121.0,0.259,4406.124,2120.81,0.864
47,3.0,0.65,121.0,0.262,4469.462,2212.934,0.86
48,3.0,0.7000000000000001,121.0,0.26,4345.255,2228.532,0.867
49,3.0,0.7500000000000001,121.0,0.269,4426.249,2275.9,0.862
50,3.0,0.8000000000000002,121.0,0.279,4451.919,2233.028,0.861
51,3.0,0.8500000000000002,121.0,0.289,4518.25,2364.529,0.857
52,3.0,0.9000000000000002,121.0,0.303,4511.82,2372.669,0.857
53,3.0,0.9500000000000003,121.0,0.318,4557.182,2449.338,0.854
54,4.0,0.1,121.0,0.413,5109.528,3467.236,0.754
55,4.0,0.15000000000000002,121.0,0.214,4344.264,2544.545,0.822
56,4.0,0.2,121.0,0.201,4203.483,2329.077,0.834
57,4.0,0.25,121.0,0.221,4062.228,2266.713,0.845
58,4.0,0.3,121.0,0.206,3498.688,2031.523,0.885
59,4.0,0.35,121.0,0.197,3677.998,2057.106,0.873
60,4.0,0.39999999999999997,121.0,0.208,3744.128,2031.493,0.868
61,4.0,0.44999999999999996,121.0,0.225,3794.301,2094.14,0.864
62,4.0,0.49999999999999994,121.0,0.172,3753.251,1941.257,0.867
63,4.0,0.5499999999999999,121.0,0.193,3775.84,2038.127,0.866
64,4.0,0.6,121.0,0.179,3631.123,1951.277,0.876
65,4.0,0.65,121.0,0.208,3663.795,2113.748,0.874
66,4.0,0.7000000000000001,121.0,0.19,3647.599,2012.388,0.875
67,4.0,0.7500000000000001,121.0,0.197,3532.48,1964.451,0.883
68,4.0,0.8000000000000002,121.0,0.201,3556.565,2007.109,0.881
69,4.0,0.8500000000000002,121.0,0.204,3618.837,2067.142,0.877
70,4.0,0.9000000000000002,121.0,0.228,3515.259,2075.118,0.884
71,4.0,0.9500000000000003,121.0,0.235,3475.518,2070.909,0.886
72,5.0,0.1,120.0,0.689,6275.608,3718.7,0.632
73,5.0,0.15000000000000002,120.0,0.488,5388.248,2869.47,0.728
74,5.0,0.2,120.0,0.328,4822.683,2440.76,0.782
75,5.0,0.25,120.0,0.319,4889.246,2225.436,0.776
76,5.0,0.3,120.0,0.401,4987.638,2457.751,0.767
77,5.0,0.35,120.0,0.287,4754.63,2136.3,0.789
78,5.0,0.39999999999999997,120.0,0.277,4676.361,2076.654,0.795
79,5.0,0.44999999999999996,120.0,0.289,4724.916,2118.738,0.791
80,5.0,0.49999999999999994,120.0,0.337,4629.673,2169.254,0.8
81,5.0,0.5499999999999999,120.0,0.322,4700.487,2233.419,0.793
82,5.0,0.6,120.0,0.311,4650.825,2239.005,0.798
83,5.0,0.65,120.0,0.336,4924.008,2445.603,0.773
84,5.0,0.7000000000000001,120.0,0.323,4767.86,2288.757,0.787
85,5.0,0.7500000000000001,120.0,0.343,4808.566,2308.064,0.784
86,5.0,0.8000000000000002,120.0,0.347,4878.771,2446.708,0.777
87,5.0,0.8500000000000002,120.0,0.358,4995.495,2520.661,0.767
88,5.0,0.9000000000000002,120.0,0.33,4827.498,2429.609,0.782
89,5.0,0.9500000000000003,120.0,0.355,4826.233,2499.143,0.782
90,6.0,0.1,120.0,0.49,6427.459,4219.041,0.683
91,6.0,0.15000000000000002,120.0,0.389,5607.952,3343.635,0.759
92,6.0,0.2,120.0,0.352,5420.06,2929.367,0.775
93,6.0,0.25,120.0,0.251,5429.185,2802.204,0.774
94,6.0,0.3,120.0,0.223,5415.404,2643.625,0.775
95,6.0,0.35,120.0,0.25,5519.541,2771.717,0.767
96,6.0,0.39999999999999997,120.0,0.238,5456.9,2736.98,0.772
97,6.0,0.44999999999999996,120.0,0.218,5460.249,2577.112,0.772
98,6.0,0.49999999999999994,120.0,0.218,5463.276,2632.483,0.771
99,6.0,0.5499999999999999,120.0,0.226,5497.191,2653.284,0.768
100,6.0,0.6,120.0,0.217,5475.429,2597.545,0.77
101,6.0,0.65,120.0,0.227,5421.447,2591.834,0.775
102,6.0,0.7000000000000001,120.0,0.266,5437.425,2789.624,0.773
103,6.0,0.7500000000000001,120.0,0.253,5409.55,2712.024,0.776
104,6.0,0.8000000000000002,120.0,0.254,5433.193,2811.061,0.774
105,6.0,0.8500000000000002,120.0,0.253,5446.993,2848.282,0.773
106,6.0,0.9000000000000002,120.0,0.272,5469.606,2950.992,0.771
107,6.0,0.9500000000000003,120.0,0.269,5480.688,3013.454,0.77
108,7.0,0.1,120.0,0.418,5223.378,3387.958,0.843
109,7.0,0.15000000000000002,120.0,0.286,4818.047,2897.775,0.866
110,7.0,0.2,120.0,0.259,4476.495,2588.119,0.884
111,7.0,0.25,120.0,0.206,4373.123,2302.159,0.89
112,7.0,0.3,120.0,0.173,4329.525,2182.685,0.892
113,7.0,0.35,120.0,0.202,4314.958,2250.084,0.893
114,7.0,0.39999999999999997,120.0,0.224,4443.673,2374.057,0.886
115,7.0,0.44999999999999996,120.0,0.182,4125.686,2050.105,0.902
116,7.0,0.49999999999999994,120.0,0.194,4150.921,2130.555,0.901
117,7.0,0.5499999999999999,120.0,0.217,4288.198,2200.241,0.894
118,7.0,0.6,120.0,0.206,4216.854,2175.733,0.897
119,7.0,0.65,120.0,0.206,4240.129,2120.705,0.896
120,7.0,0.7000000000000001,120.0,0.214,4265.946,2166.752,0.895
121,7.0,0.7500000000000001,120.0,0.209,4157.464,2101.397,0.9
122,7.0,0.8000000000000002,120.0,0.21,4125.142,2119.181,0.902
123,7.0,0.8500000000000002,120.0,0.202,4152.019,2057.259,0.901
124,7.0,0.9000000000000002,120.0,0.211,4169.986,2111.42,0.9
125,7.0,0.9500000000000003,120.0,0.206,4161.716,2074.926,0.9
126,8.0,0.1,120.0,0.434,5480.695,3856.052,0.785
127,8.0,0.15000000000000002,120.0,0.319,4553.647,2903.844,0.852
128,8.0,0.2,120.0,0.3,4559.426,2783.855,0.851
129,8.0,0.25,120.0,0.257,4448.931,2487.977,0.859
130,8.0,0.3,120.0,0.245,4456.814,2509.158,0.858
131,8.0,0.35,120.0,0.246,4588.83,2580.461,0.849
132,8.0,0.39999999999999997,120.0,0.248,4578.405,2519.701,0.85
133,8.0,0.44999999999999996,120.0,0.27,4579.149,2609.548,0.85
134,8.0,0.49999999999999994,120.0,0.262,4620.205,2556.973,0.847
135,8.0,0.5499999999999999,120.0,0.332,4700.504,2731.017,0.842
136,8.0,0.6,120.0,0.308,4606.112,2688.001,0.848
137,8.0,0.65,120.0,0.289,4633.932,2670.764,0.847
138,8.0,0.7000000000000001,120.0,0.272,4501.372,2519.607,0.855
139,8.0,0.7500000000000001,120.0,0.283,4498.276,2599.347,0.855
140,8.0,0.8000000000000002,120.0,0.301,4534.022,2635.946,0.853
141,8.0,0.8500000000000002,120.0,0.299,4486.791,2627.754,0.856
142,8.0,0.9000000000000002,120.0,0.293,4417.262,2568.635,0.861
143,8.0,0.9500000000000003,120.0,0.287,4413.421,2587.595,0.861
144,9.0,0.1,120.0,0.342,6009.692,3961.25,0.722
145,9.0,0.15000000000000002,120.0,0.267,5696.982,3328.017,0.751
146,9.0,0.2,120.0,0.304,6109.65,3517.661,0.713
147,9.0,0.25,120.0,0.251,5841.012,3189.193,0.738
148,9.0,0.3,120.0,0.292,5865.849,3371.933,0.736
149,9.0,0.35,120.0,0.276,5926.991,3295.729,0.73
150,9.0,0.39999999999999997,120.0,0.295,5922.011,3166.798,0.731
151,9.0,0.44999999999999996,120.0,0.247,5895.566,3015.593,0.733
152,9.0,0.49999999999999994,120.0,0.251,5909.549,3076.205,0.732
153,9.0,0.5499999999999999,120.0,0.274,5943.558,3192.74,0.729
154,9.0,0.6,120.0,0.26,5907.852,3159.342,0.732
155,9.0,0.65,120.0,0.26,5813.924,3111.912,0.74
156,9.0,0.7000000000000001,120.0,0.241,5856.057,3073.997,0.737
157,9.0,0.7500000000000001,120.0,0.246,5879.9,3107.087,0.734
158,9.0,0.8000000000000002,120.0,0.25,5925.313,3082.874,0.73
159,9.0,0.8500000000000002,120.0,0.242,5948.198,3083.628,0.728
160,9.0,0.9000000000000002,120.0,0.246,5876.24,3094.213,0.735
161,9.0,0.9500000000000003,120.0,0.254,5908.872,3146.032,0.732
162,10.0,0.1,120.0,0.565,6569.278,4103.616,0.763
163,10.0,0.15000000000000002,120.0,0.364,6039.035,3357.978,0.8
164,10.0,0.2,120.0,0.317,6100.584,3115.239,0.796
165,10.0,0.25,120.0,0.343,6309.41,3193.704,0.782
166,10.0,0.3,120.0,0.276,6018.437,3031.143,0.801
167,10.0,0.35,120.0,0.261,5935.571,2865.957,0.807
168,10.0,0.39999999999999997,120.0,0.241,6020.114,2831.305,0.801
169,10.0,0.44999999999999996,120.0,0.229,5823.734,2722.668,0.814
170,10.0,0.49999999999999994,120.0,0.235,5811.716,2701.253,0.815
171,10.0,0.5499999999999999,120.0,0.249,5753.756,2722.666,0.818
172,10.0,0.6,120.0,0.241,5733.834,2737.254,0.82
173,10.0,0.65,120.0,0.224,5766.588,2688.689,0.817
174,10.0,0.7000000000000001,120.0,0.239,5700.174,2797.972,0.822
175,10.0,0.7500000000000001,120.0,0.25,5721.608,2812.026,0.82
176,10.0,0.8000000000000002,120.0,0.264,5754.148,2831.518,0.818
177,10.0,0.8500000000000002,120.0,0.249,5768.659,2773.074,0.817
178,10.0,0.9000000000000002,120.0,0.278,5799.731,2847.694,0.815
179,10.0,0.9500000000000003,120.0,0.276,5748.61,2836.483,0.819
