,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.36,4676.524,2567.358,0.794
1,1.0,0.15000000000000002,121.0,0.284,4430.514,2149.65,0.815
2,1.0,0.2,121.0,0.265,4484.788,2213.275,0.811
3,1.0,0.25,121.0,0.212,4374.817,2042.738,0.82
4,1.0,0.3,121.0,0.179,4279.318,1848.456,0.828
5,1.0,0.35,121.0,0.188,4431.906,2015.787,0.815
6,1.0,0.39999999999999997,121.0,0.245,4283.875,2207.288,0.827
7,1.0,0.44999999999999996,121.0,0.219,4206.712,2088.89,0.833
8,1.0,0.49999999999999994,121.0,0.252,4338.716,2318.451,0.823
9,1.0,0.5499999999999999,121.0,0.27,4352.277,2389.125,0.822
10,1.0,0.6,121.0,0.277,4286.047,2345.436,0.827
11,1.0,0.65,121.0,0.265,4343.049,2366.961,0.822
12,1.0,0.7000000000000001,121.0,0.258,4300.03,2324.311,0.826
13,1.0,0.7500000000000001,121.0,0.268,4197.921,2293.798,0.834
14,1.0,0.8000000000000002,121.0,0.286,4286.454,2398.515,0.827
15,1.0,0.8500000000000002,121.0,0.305,4215.411,2400.791,0.833
16,1.0,0.9000000000000002,121.0,0.318,4257.472,2466.765,0.829
17,1.0,0.9500000000000003,121.0,0.317,4368.646,2509.799,0.82
18,2.0,0.1,121.0,0.306,5238.432,2974.447,0.838
19,2.0,0.15000000000000002,121.0,0.225,4732.86,2333.828,0.868
20,2.0,0.2,121.0,0.188,4609.513,2158.621,0.875
21,2.0,0.25,121.0,0.209,4496.426,2106.585,0.881
22,2.0,0.3,121.0,0.207,4454.825,2007.138,0.883
23,2.0,0.35,121.0,0.215,4484.568,2095.677,0.881
24,2.0,0.39999999999999997,121.0,0.208,4406.893,2008.565,0.885
25,2.0,0.44999999999999996,121.0,0.187,4490.938,2027.983,0.881
26,2.0,0.49999999999999994,121.0,0.228,4468.312,2194.197,0.882
27,2.0,0.5499999999999999,121.0,0.18,4334.939,1976.104,0.889
28,2.0,0.6,121.0,0.223,4484.345,2149.604,0.881
29,2.0,0.65,121.0,0.258,4389.025,2208.059,0.886
30,2.0,0.7000000000000001,121.0,0.235,4476.327,2244.208,0.882
31,2.0,0.7500000000000001,121.0,0.234,4494.632,2269.972,0.881
32,2.0,0.8000000000000002,121.0,0.241,4492.156,2282.95,0.881
33,2.0,0.8500000000000002,121.0,0.291,4482.795,2399.918,0.881
34,2.0,0.9000000000000002,121.0,0.281,4473.47,2381.149,0.882
35,2.0,0.9500000000000003,121.0,0.271,4511.427,2385.41,0.88
36,3.0,0.1,121.0,0.478,5284.185,3555.366,0.804
37,3.0,0.15000000000000002,121.0,0.347,4571.687,2712.6,0.853
38,3.0,0.2,121.0,0.358,4586.127,2672.883,0.852
39,3.0,0.25,121.0,0.311,4467.972,2367.527,0.86
40,3.0,0.3,121.0,0.264,4491.977,2371.094,0.858
41,3.0,0.35,121.0,0.262,4516.037,2349.428,0.857
42,3.0,0.39999999999999997,121.0,0.251,4555.425,2317.547,0.854
43,3.0,0.44999999999999996,121.0,0.253,4529.303,2293.094,0.856
44,3.0,0.49999999999999994,121.0,0.228,4568.825,2283.04,0.853
45,3.0,0.5499999999999999,121.0,0.222,4512.77,2214.732,0.857
46,3.0,0.6,121.0,0.232,4521.221,2203.236,0.856
47,3.0,0.65,121.0,0.254,4573.779,2292.747,0.853
48,3.0,0.7000000000000001,121.0,0.268,4583.026,2336.223,0.852
49,3.0,0.7500000000000001,121.0,0.284,4539.648,2361.375,0.855
50,3.0,0.8000000000000002,121.0,0.304,4649.761,2414.381,0.848
51,3.0,0.8500000000000002,121.0,0.303,4541.952,2360.088,0.855
52,3.0,0.9000000000000002,121.0,0.297,4464.15,2332.955,0.86
53,3.0,0.9500000000000003,121.0,0.328,4467.327,2488.741,0.86
54,4.0,0.1,121.0,0.485,4806.616,3510.623,0.783
55,4.0,0.15000000000000002,121.0,0.365,4187.014,2803.108,0.835
56,4.0,0.2,121.0,0.387,4249.596,2831.018,0.83
57,4.0,0.25,121.0,0.274,3874.669,2267.268,0.859
58,4.0,0.3,121.0,0.251,3778.417,2101.116,0.866
59,4.0,0.35,121.0,0.189,3738.475,1902.173,0.868
60,4.0,0.39999999999999997,121.0,0.213,3588.8,2011.892,0.879
61,4.0,0.44999999999999996,121.0,0.209,3586.305,1934.12,0.879
62,4.0,0.49999999999999994,121.0,0.204,3433.72,1915.836,0.889
63,4.0,0.5499999999999999,121.0,0.198,3440.645,1865.594,0.889
64,4.0,0.6,121.0,0.207,3525.203,1964.7,0.883
65,4.0,0.65,121.0,0.205,3506.754,1910.405,0.884
66,4.0,0.7000000000000001,121.0,0.202,3489.527,1910.346,0.885
67,4.0,0.7500000000000001,121.0,0.206,3443.338,1884.323,0.888
68,4.0,0.8000000000000002,121.0,0.208,3384.636,1911.681,0.892
69,4.0,0.8500000000000002,121.0,0.234,3354.921,1978.375,0.894
70,4.0,0.9000000000000002,121.0,0.229,3447.397,2017.357,0.888
71,4.0,0.9500000000000003,121.0,0.239,3505.711,2129.93,0.884
72,5.0,0.1,120.0,0.642,6386.745,3858.727,0.619
73,5.0,0.15000000000000002,120.0,0.725,5951.514,3486.377,0.669
74,5.0,0.2,120.0,0.574,5403.574,2999.305,0.727
75,5.0,0.25,120.0,0.366,4954.071,2470.977,0.77
76,5.0,0.3,120.0,0.329,4891.163,2439.819,0.776
77,5.0,0.35,120.0,0.305,4901.362,2266.264,0.775
78,5.0,0.39999999999999997,120.0,0.313,4742.706,2218.156,0.79
79,5.0,0.44999999999999996,120.0,0.33,4758.556,2301.247,0.788
80,5.0,0.49999999999999994,120.0,0.318,4716.61,2198.93,0.792
81,5.0,0.5499999999999999,120.0,0.303,4714.018,2134.934,0.792
82,5.0,0.6,120.0,0.314,4709.89,2142.697,0.793
83,5.0,0.65,120.0,0.317,4748.81,2249.693,0.789
84,5.0,0.7000000000000001,120.0,0.313,4659.741,2226.178,0.797
85,5.0,0.7500000000000001,120.0,0.323,4814.663,2338.555,0.783
86,5.0,0.8000000000000002,120.0,0.334,4820.605,2345.494,0.783
87,5.0,0.8500000000000002,120.0,0.337,4817.555,2394.784,0.783
88,5.0,0.9000000000000002,120.0,0.36,4883.067,2507.231,0.777
89,5.0,0.9500000000000003,120.0,0.363,4844.054,2478.653,0.781
90,6.0,0.1,120.0,0.317,6339.544,3589.461,0.692
91,6.0,0.15000000000000002,120.0,0.393,5764.984,3304.832,0.745
92,6.0,0.2,120.0,0.304,5510.595,2905.064,0.767
93,6.0,0.25,120.0,0.25,5478.361,2656.426,0.77
94,6.0,0.3,120.0,0.28,5534.115,2738.369,0.765
95,6.0,0.35,120.0,0.249,5489.413,2581.158,0.769
96,6.0,0.39999999999999997,120.0,0.209,5567.944,2640.125,0.762
97,6.0,0.44999999999999996,120.0,0.228,5543.618,2731.926,0.765
98,6.0,0.49999999999999994,120.0,0.219,5629.301,2695.343,0.757
99,6.0,0.5499999999999999,120.0,0.226,5560.969,2650.839,0.763
100,6.0,0.6,120.0,0.218,5516.979,2670.709,0.767
101,6.0,0.65,120.0,0.229,5497.451,2724.043,0.768
102,6.0,0.7000000000000001,120.0,0.222,5433.116,2696.811,0.774
103,6.0,0.7500000000000001,120.0,0.223,5442.721,2657.772,0.773
104,6.0,0.8000000000000002,120.0,0.266,5362.782,2788.796,0.78
105,6.0,0.8500000000000002,120.0,0.278,5354.585,2826.935,0.78
106,6.0,0.9000000000000002,120.0,0.303,5419.129,3001.16,0.775
107,6.0,0.9500000000000003,120.0,0.297,5358.831,2973.585,0.78
108,7.0,0.1,120.0,0.271,5187.22,3070.609,0.845
109,7.0,0.15000000000000002,120.0,0.211,4331.65,2256.106,0.892
110,7.0,0.2,120.0,0.194,4380.407,2252.763,0.889
111,7.0,0.25,120.0,0.163,4246.344,1926.441,0.896
112,7.0,0.3,120.0,0.208,4494.152,2294.067,0.883
113,7.0,0.35,120.0,0.161,4409.325,2018.839,0.888
114,7.0,0.39999999999999997,120.0,0.212,4322.115,2055.454,0.892
115,7.0,0.44999999999999996,120.0,0.211,4364.434,2026.798,0.89
116,7.0,0.49999999999999994,120.0,0.188,4264.689,1956.04,0.895
117,7.0,0.5499999999999999,120.0,0.192,4260.378,1929.735,0.895
118,7.0,0.6,120.0,0.19,4230.665,1905.896,0.897
119,7.0,0.65,120.0,0.201,4223.064,1977.948,0.897
120,7.0,0.7000000000000001,120.0,0.208,4255.921,2040.26,0.895
121,7.0,0.7500000000000001,120.0,0.206,4328.368,2097.977,0.892
122,7.0,0.8000000000000002,120.0,0.212,4203.603,2193.95,0.898
123,7.0,0.8500000000000002,120.0,0.185,4115.382,2092.274,0.902
124,7.0,0.9000000000000002,120.0,0.19,4131.285,2087.06,0.901
125,7.0,0.9500000000000003,120.0,0.196,4197.017,2136.86,0.898
126,8.0,0.1,120.0,0.366,6101.888,3771.486,0.734
127,8.0,0.15000000000000002,120.0,0.308,4731.401,2640.872,0.84
128,8.0,0.2,120.0,0.298,4558.043,2502.071,0.851
129,8.0,0.25,120.0,0.296,4660.955,2553.058,0.845
130,8.0,0.3,120.0,0.291,4489.613,2488.818,0.856
131,8.0,0.35,120.0,0.326,4619.848,2709.042,0.847
132,8.0,0.39999999999999997,120.0,0.264,4609.962,2521.574,0.848
133,8.0,0.44999999999999996,120.0,0.24,4561.491,2347.299,0.851
