,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.453,5394.633,3466.507,0.726
1,1.0,0.15000000000000002,121.0,0.362,5093.078,2838.478,0.756
2,1.0,0.2,121.0,0.286,4901.545,2582.185,0.774
3,1.0,0.25,121.0,0.261,4809.235,2394.187,0.782
4,1.0,0.3,121.0,0.233,4693.931,2192.522,0.793
5,1.0,0.35,121.0,0.217,4581.376,2083.061,0.802
6,1.0,0.39999999999999997,121.0,0.21,4611.97,2106.622,0.8
7,1.0,0.44999999999999996,121.0,0.232,4608.958,2217.593,0.8
8,1.0,0.49999999999999994,121.0,0.211,4615.899,2167.489,0.799
9,1.0,0.5499999999999999,121.0,0.238,4651.447,2340.576,0.796
10,1.0,0.6,121.0,0.248,4500.363,2319.656,0.809
11,1.0,0.65,121.0,0.227,4468.597,2251.412,0.812
12,1.0,0.7000000000000001,121.0,0.241,4486.249,2287.706,0.811
13,1.0,0.7500000000000001,121.0,0.257,4507.197,2302.797,0.809
14,1.0,0.8000000000000002,121.0,0.266,4534.061,2327.667,0.806
15,1.0,0.8500000000000002,121.0,0.268,4448.699,2268.6,0.814
16,1.0,0.9000000000000002,121.0,0.31,4395.546,2392.46,0.818
17,1.0,0.9500000000000003,121.0,0.313,4390.335,2395.191,0.819
18,2.0,0.1,121.0,0.534,7402.071,4660.676,0.677
19,2.0,0.15000000000000002,121.0,0.286,5583.431,3092.518,0.816
20,2.0,0.2,121.0,0.205,4967.582,2509.859,0.854
21,2.0,0.25,121.0,0.202,4795.232,2308.35,0.864
22,2.0,0.3,121.0,0.2,4708.761,2290.42,0.869
23,2.0,0.35,121.0,0.209,4565.755,2246.052,0.877
24,2.0,0.39999999999999997,121.0,0.213,4599.612,2347.457,0.875
25,2.0,0.44999999999999996,121.0,0.209,4635.127,2279.778,0.873
26,2.0,0.49999999999999994,121.0,0.202,4582.19,2243.433,0.876
27,2.0,0.5499999999999999,121.0,0.201,4606.535,2187.977,0.875
28,2.0,0.6,121.0,0.207,4633.096,2227.197,0.873
29,2.0,0.65,121.0,0.25,4536.949,2267.026,0.879
30,2.0,0.7000000000000001,121.0,0.245,4556.941,2341.905,0.878
31,2.0,0.7500000000000001,121.0,0.239,4553.063,2256.922,0.878
32,2.0,0.8000000000000002,121.0,0.271,4517.383,2320.7,0.88
33,2.0,0.8500000000000002,121.0,0.268,4486.172,2321.906,0.881
34,2.0,0.9000000000000002,121.0,0.271,4540.949,2400.147,0.878
35,2.0,0.9500000000000003,121.0,0.264,4502.16,2354.761,0.88
36,3.0,0.1,121.0,0.572,5140.153,3941.56,0.814
37,3.0,0.15000000000000002,121.0,0.417,4865.936,3133.092,0.834
38,3.0,0.2,121.0,0.335,4502.292,2544.612,0.858
39,3.0,0.25,121.0,0.305,4408.576,2351.07,0.863
40,3.0,0.3,121.0,0.28,4332.91,2201.614,0.868
41,3.0,0.35,121.0,0.255,4245.648,2038.382,0.873
42,3.0,0.39999999999999997,121.0,0.244,4214.38,2025.741,0.875
43,3.0,0.44999999999999996,121.0,0.252,4175.654,2040.113,0.878
44,3.0,0.49999999999999994,121.0,0.242,4238.714,2016.26,0.874
45,3.0,0.5499999999999999,121.0,0.229,4247.039,2004.689,0.873
46,3.0,0.6,121.0,0.24,4263.182,2051.262,0.872
47,3.0,0.65,121.0,0.251,4262.999,2046.144,0.872
48,3.0,0.7000000000000001,121.0,0.268,4241.994,2076.2,0.874
49,3.0,0.7500000000000001,121.0,0.277,4305.323,2056.3,0.87
50,3.0,0.8000000000000002,121.0,0.279,4275.128,2118.073,0.872
51,3.0,0.8500000000000002,121.0,0.319,4386.26,2286.492,0.865
52,3.0,0.9000000000000002,121.0,0.323,4336.075,2301.046,0.868
53,3.0,0.9500000000000003,121.0,0.311,4343.209,2265.577,0.868
54,4.0,0.1,121.0,0.29,5368.948,3308.88,0.729
55,4.0,0.15000000000000002,121.0,0.251,4661.975,2791.618,0.795
56,4.0,0.2,121.0,0.198,4083.599,2201.283,0.843
57,4.0,0.25,121.0,0.235,3937.769,2134.286,0.854
58,4.0,0.3,121.0,0.194,3829.351,2018.256,0.862
59,4.0,0.35,121.0,0.195,3721.719,1950.758,0.87
60,4.0,0.39999999999999997,121.0,0.178,3758.83,1847.565,0.867
61,4.0,0.44999999999999996,121.0,0.168,3652.36,1784.244,0.874
62,4.0,0.49999999999999994,121.0,0.168,3695.077,1825.671,0.871
