,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.585,6017.653,3490.469,0.659
1,1.0,0.15000000000000002,121.0,0.342,4341.651,2398.457,0.823
2,1.0,0.2,121.0,0.274,4339.926,2129.447,0.823
3,1.0,0.25,121.0,0.212,4305.063,1989.267,0.826
4,1.0,0.3,121.0,0.233,4338.914,1992.116,0.823
5,1.0,0.35,121.0,0.194,4299.68,1927.804,0.826
6,1.0,0.39999999999999997,121.0,0.194,4463.558,1943.293,0.812
7,1.0,0.44999999999999996,121.0,0.198,4571.466,2009.898,0.803
8,1.0,0.49999999999999994,121.0,0.232,4547.263,2083.016,0.805
9,1.0,0.5499999999999999,121.0,0.217,4552.447,2061.471,0.805
10,1.0,0.6,121.0,0.222,4515.494,2075.971,0.808
11,1.0,0.65,121.0,0.254,4518.613,2157.948,0.808
12,1.0,0.7000000000000001,121.0,0.25,4511.199,2195.008,0.808
13,1.0,0.7500000000000001,121.0,0.29,4554.268,2376.562,0.805
14,1.0,0.8000000000000002,121.0,0.278,4504.849,2310.898,0.809
15,1.0,0.8500000000000002,121.0,0.284,4430.796,2325.511,0.815
16,1.0,0.9000000000000002,121.0,0.314,4377.852,2354.343,0.82
17,1.0,0.9500000000000003,121.0,0.303,4336.866,2291.311,0.823
18,2.0,0.1,121.0,0.314,4744.329,2492.769,0.867
19,2.0,0.15000000000000002,121.0,0.223,4471.104,2129.029,0.882
20,2.0,0.2,121.0,0.218,4490.834,2130.79,0.881
21,2.0,0.25,121.0,0.243,4488.432,2172.525,0.881
22,2.0,0.3,121.0,0.255,4474.76,2157.703,0.882
23,2.0,0.35,121.0,0.229,4544.851,2159.512,0.878
24,2.0,0.39999999999999997,121.0,0.207,4532.784,2018.706,0.879
25,2.0,0.44999999999999996,121.0,0.209,4514.38,2079.865,0.88
26,2.0,0.49999999999999994,121.0,0.204,4486.139,2006.665,0.881
27,2.0,0.5499999999999999,121.0,0.192,4538.402,2003.094,0.878
28,2.0,0.6,121.0,0.203,4574.93,2098.622,0.877
29,2.0,0.65,121.0,0.201,4494.765,2045.592,0.881
30,2.0,0.7000000000000001,121.0,0.217,4489.774,2119.747,0.881
31,2.0,0.7500000000000001,121.0,0.225,4546.52,2190.248,0.878
32,2.0,0.8000000000000002,121.0,0.215,4511.168,2148.661,0.88
33,2.0,0.8500000000000002,121.0,0.204,4525.955,2104.518,0.879
34,2.0,0.9000000000000002,121.0,0.246,4474.391,2212.918,0.882
35,2.0,0.9500000000000003,121.0,0.274,4502.916,2305.611,0.88
36,3.0,0.1,121.0,0.396,4906.452,3069.777,0.831
37,3.0,0.15000000000000002,121.0,0.267,4496.437,2361.155,0.858
38,3.0,0.2,121.0,0.259,4476.779,2337.798,0.859
39,3.0,0.25,121.0,0.238,4497.54,2219.672,0.858
40,3.0,0.3,121.0,0.224,4416.401,2134.5,0.863
41,3.0,0.35,121.0,0.22,4377.098,2010.323,0.865
42,3.0,0.39999999999999997,121.0,0.192,4302.713,1976.493,0.87
43,3.0,0.44999999999999996,121.0,0.182,4277.818,1908.306,0.871
44,3.0,0.49999999999999994,121.0,0.198,4330.569,1963.517,0.868
45,3.0,0.5499999999999999,121.0,0.192,4303.06,1960.827,0.87
46,3.0,0.6,121.0,0.199,4272.741,1979.576,0.872
47,3.0,0.65,121.0,0.209,4314.847,2036.271,0.869
48,3.0,0.7000000000000001,121.0,0.233,4331.584,2132.076,0.868
49,3.0,0.7500000000000001,121.0,0.226,4304.683,2103.644,0.87
50,3.0,0.8000000000000002,121.0,0.238,4338.566,2146.383,0.868
51,3.0,0.8500000000000002,121.0,0.266,4339.338,2270.738,0.868
52,3.0,0.9000000000000002,121.0,0.274,4333.328,2300.11,0.868
53,3.0,0.9500000000000003,121.0,0.296,4350.115,2316.443,0.867
54,4.0,0.1,121.0,0.456,4940.179,3197.446,0.77
55,4.0,0.15000000000000002,121.0,0.288,3934.103,2236.163,0.854
56,4.0,0.2,121.0,0.271,3960.995,2093.672,0.852
57,4.0,0.25,121.0,0.204,3847.971,1910.628,0.861
58,4.0,0.3,121.0,0.17,3728.906,1764.614,0.869
59,4.0,0.35,121.0,0.173,3564.074,1691.128,0.88
60,4.0,0.39999999999999997,121.0,0.186,3448.432,1758.019,0.888
61,4.0,0.44999999999999996,121.0,0.211,3552.994,1747.405,0.881
62,4.0,0.49999999999999994,121.0,0.188,3497.512,1735.576,0.885
63,4.0,0.5499999999999999,121.0,0.188,3498.203,1734.274,0.885
64,4.0,0.6,121.0,0.23,3642.099,1845.71,0.875
65,4.0,0.65,121.0,0.195,3581.311,1836.942,0.879
66,4.0,0.7000000000000001,121.0,0.188,3558.425,1839.031,0.881
67,4.0,0.7500000000000001,121.0,0.213,3632.973,1983.086,0.876
68,4.0,0.8000000000000002,121.0,0.208,3731.45,2038.265,0.869
69,4.0,0.8500000000000002,121.0,0.21,3605.442,1940.584,0.878
70,4.0,0.9000000000000002,121.0,0.244,3659.193,2043.238,0.874
71,4.0,0.9500000000000003,121.0,0.294,3655.727,2133.242,0.874
72,5.0,0.1,120.0,0.557,5808.382,3590.596,0.684
73,5.0,0.15000000000000002,120.0,0.431,5117.879,2855.232,0.755
74,5.0,0.2,120.0,0.321,4779.062,2355.401,0.786
75,5.0,0.25,120.0,0.232,4666.726,2093.696,0.796
76,5.0,0.3,120.0,0.372,4892.59,2449.433,0.776
