,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,4339.0,1.765,1780.539,1528.108,0.193
1,1.0,0.15000000000000002,4339.0,1.767,1776.791,1523.047,0.196
2,1.0,0.2,4339.0,1.758,1774.205,1521.952,0.198
3,1.0,0.25,4339.0,1.759,1772.394,1519.617,0.2
4,1.0,0.3,4339.0,1.747,1772.403,1520.706,0.2
5,1.0,0.35,4339.0,1.761,1767.17,1516.513,0.205
6,1.0,0.39999999999999997,4339.0,1.752,1768.931,1515.628,0.203
7,1.0,0.44999999999999996,4339.0,1.757,1763.424,1512.949,0.208
8,1.0,0.49999999999999994,4339.0,1.764,1766.256,1514.894,0.206
9,1.0,0.5499999999999999,4339.0,1.765,1763.978,1513.272,0.208
10,1.0,0.6,4339.0,1.746,1762.295,1509.84,0.209
11,1.0,0.65,4339.0,1.753,1760.744,1507.914,0.211
12,1.0,0.7000000000000001,4339.0,1.764,1761.027,1509.693,0.21
13,1.0,0.7500000000000001,4339.0,1.746,1756.205,1504.742,0.215
14,1.0,0.8000000000000002,4339.0,1.756,1753.506,1502.052,0.217
15,1.0,0.8500000000000002,4339.0,1.761,1753.307,1501.04,0.217
16,1.0,0.9000000000000002,4339.0,1.756,1750.536,1497.2,0.22
17,1.0,0.9500000000000003,4339.0,1.756,1751.412,1497.431,0.219
18,2.0,0.1,4339.0,2.917,1771.505,1516.85,0.205
19,2.0,0.15000000000000002,4339.0,2.956,1771.347,1515.331,0.205
20,2.0,0.2,4339.0,2.931,1767.655,1510.24,0.208
21,2.0,0.25,4339.0,2.915,1765.881,1512.168,0.21
22,2.0,0.3,4339.0,2.936,1764.703,1512.221,0.211
23,2.0,0.35,4339.0,2.93,1764.839,1510.508,0.211
24,2.0,0.39999999999999997,4339.0,2.971,1764.299,1511.321,0.211
25,2.0,0.44999999999999996,4339.0,2.956,1762.718,1508.293,0.213
26,2.0,0.49999999999999994,4339.0,2.924,1763.559,1509.358,0.212
27,2.0,0.5499999999999999,4339.0,2.914,1763.936,1508.626,0.212
28,2.0,0.6,4339.0,2.967,1763.152,1508.543,0.212
29,2.0,0.65,4339.0,2.966,1760.692,1504.632,0.215
30,2.0,0.7000000000000001,4339.0,2.9,1759.914,1504.465,0.215
31,2.0,0.7500000000000001,4339.0,2.891,1756.161,1501.661,0.219
32,2.0,0.8000000000000002,4339.0,2.93,1754.675,1500.219,0.22
33,2.0,0.8500000000000002,4339.0,2.913,1753.61,1500.067,0.221
34,2.0,0.9000000000000002,4339.0,2.974,1752.653,1500.744,0.222
35,2.0,0.9500000000000003,4339.0,2.948,1749.152,1496.735,0.225
36,3.0,0.1,4339.0,1.477,1782.367,1524.331,0.199
37,3.0,0.15000000000000002,4339.0,1.469,1778.809,1522.902,0.203
38,3.0,0.2,4339.0,1.466,1779.186,1524.632,0.202
39,3.0,0.25,4339.0,1.467,1778.919,1524.687,0.203
40,3.0,0.3,4339.0,1.458,1775.658,1520.752,0.205
41,3.0,0.35,4339.0,1.451,1775.478,1521.257,0.206
42,3.0,0.39999999999999997,4339.0,1.458,1774.152,1521.762,0.207
43,3.0,0.44999999999999996,4339.0,1.46,1774.129,1521.501,0.207
44,3.0,0.49999999999999994,4339.0,1.467,1771.561,1520.152,0.209
45,3.0,0.5499999999999999,4339.0,1.467,1772.505,1519.809,0.208
46,3.0,0.6,4339.0,1.463,1770.1,1518.408,0.21
47,3.0,0.65,4339.0,1.461,1771.117,1518.767,0.21
48,3.0,0.7000000000000001,4339.0,1.466,1767.892,1517.954,0.212
49,3.0,0.7500000000000001,4339.0,1.465,1767.161,1518.18,0.213
50,3.0,0.8000000000000002,4339.0,1.459,1765.617,1516.21,0.214
51,3.0,0.8500000000000002,4339.0,1.463,1769.758,1519.548,0.211
52,3.0,0.9000000000000002,4339.0,1.461,1767.934,1518.01,0.212
53,3.0,0.9500000000000003,4339.0,1.461,1767.768,1518.748,0.213
54,4.0,0.1,4338.0,2.626,1803.344,1543.54,0.182
55,4.0,0.15000000000000002,4338.0,2.644,1799.571,1538.496,0.186
56,4.0,0.2,4338.0,2.632,1798.5,1538.359,0.187
57,4.0,0.25,4338.0,2.618,1792.036,1534.263,0.193
58,4.0,0.3,4338.0,2.604,1793.136,1534.843,0.192
59,4.0,0.35,4338.0,2.594,1792.347,1535.513,0.192
60,4.0,0.39999999999999997,4338.0,2.596,1793.37,1535.616,0.191
61,4.0,0.44999999999999996,4338.0,2.583,1793.758,1536.23,0.191
62,4.0,0.49999999999999994,4338.0,2.596,1792.625,1535.239,0.192
63,4.0,0.5499999999999999,4338.0,2.587,1794.357,1536.447,0.191
64,4.0,0.6,4338.0,2.596,1791.614,1534.928,0.193
65,4.0,0.65,4338.0,2.574,1789.546,1533.263,0.195
66,4.0,0.7000000000000001,4338.0,2.574,1787.496,1529.759,0.197
67,4.0,0.7500000000000001,4338.0,2.583,1787.508,1530.406,0.197
68,4.0,0.8000000000000002,4338.0,2.583,1785.949,1529.697,0.198
69,4.0,0.8500000000000002,4338.0,2.574,1782.614,1527.687,0.201
70,4.0,0.9000000000000002,4338.0,2.574,1779.416,1524.743,0.204
71,4.0,0.9500000000000003,4338.0,2.567,1781.19,1526.029,0.202
72,5.0,0.1,4338.0,4813420746073850.0,1795.941,1535.994,0.187
73,5.0,0.15000000000000002,4338.0,4866297687861509.0,1791.712,1537.218,0.191
74,5.0,0.2,4338.0,4902321386840825.0,1793.568,1538.007,0.189
75,5.0,0.25,4338.0,4797054231571489.0,1787.052,1533.96,0.195
76,5.0,0.3,4338.0,4837540817201457.0,1785.622,1531.525,0.196
77,5.0,0.35,4338.0,4888645805054737.0,1782.965,1529.895,0.199
78,5.0,0.39999999999999997,4338.0,4931187806647146.0,1786.107,1532.542,0.196
79,5.0,0.44999999999999996,4338.0,4906125379349154.0,1783.434,1531.554,0.198
80,5.0,0.49999999999999994,4338.0,4899199573151973.0,1783.181,1531.089,0.199
81,5.0,0.5499999999999999,4338.0,4787581304485118.0,1782.201,1526.893,0.199
82,5.0,0.6,4338.0,4828227565849652.0,1778.623,1523.958,0.203
83,5.0,0.65,4338.0,4805457438879119.0,1777.066,1524.018,0.204
84,5.0,0.7000000000000001,4338.0,4743110135293928.0,1775.888,1522.127,0.205
85,5.0,0.7500000000000001,4338.0,4708561886141771.0,1776.041,1522.602,0.205
86,5.0,0.8000000000000002,4338.0,4743387237967811.0,1777.501,1524.197,0.204
87,5.0,0.8500000000000002,4338.0,4710018298456536.0,1773.553,1521.153,0.207
88,5.0,0.9000000000000002,4338.0,4710932213833359.0,1773.055,1522.928,0.208
89,5.0,0.9500000000000003,4338.0,4732955881481072.0,1772.669,1523.787,0.208
90,6.0,0.1,4338.0,2.231,1806.997,1555.95,0.176
91,6.0,0.15000000000000002,4338.0,2.216,1805.248,1554.738,0.177
