,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,4339.0,1.712,1770.241,1513.924,0.202
1,1.0,0.15000000000000002,4339.0,1.728,1768.161,1511.418,0.204
2,1.0,0.2,4339.0,1.726,1766.007,1509.94,0.206
3,1.0,0.25,4339.0,1.737,1763.1,1507.979,0.208
4,1.0,0.3,4339.0,1.722,1759.702,1506.981,0.212
5,1.0,0.35,4339.0,1.736,1759.109,1507.578,0.212
6,1.0,0.39999999999999997,4339.0,1.737,1757.856,1507.305,0.213
7,1.0,0.44999999999999996,4339.0,1.75,1756.659,1504.285,0.214
8,1.0,0.49999999999999994,4339.0,1.744,1756.543,1503.668,0.214
9,1.0,0.5499999999999999,4339.0,1.76,1754.986,1503.976,0.216
10,1.0,0.6,4339.0,1.752,1755.5,1500.702,0.215
11,1.0,0.65,4339.0,1.756,1753.673,1500.33,0.217
12,1.0,0.7000000000000001,4339.0,1.767,1752.654,1499.111,0.218
13,1.0,0.7500000000000001,4339.0,1.748,1752.203,1498.136,0.218
14,1.0,0.8000000000000002,4339.0,1.754,1748.483,1494.995,0.222
15,1.0,0.8500000000000002,4339.0,1.753,1746.971,1493.834,0.223
16,1.0,0.9000000000000002,4339.0,1.752,1746.535,1493.087,0.223
17,1.0,0.9500000000000003,4339.0,1.753,1747.252,1494.164,0.223
18,2.0,0.1,4339.0,2.876,1773.436,1515.986,0.203
19,2.0,0.15000000000000002,4339.0,2.923,1771.12,1515.291,0.205
20,2.0,0.2,4339.0,2.912,1764.155,1508.779,0.212
21,2.0,0.25,4339.0,2.917,1764.757,1507.254,0.211
22,2.0,0.3,4339.0,2.947,1762.268,1506.918,0.213
23,2.0,0.35,4339.0,2.918,1762.442,1507.83,0.213
24,2.0,0.39999999999999997,4339.0,2.918,1762.161,1508.087,0.213
25,2.0,0.44999999999999996,4339.0,2.919,1762.505,1509.148,0.213
26,2.0,0.49999999999999994,4339.0,2.907,1759.898,1506.478,0.215
27,2.0,0.5499999999999999,4339.0,2.876,1758.5,1504.117,0.217
28,2.0,0.6,4339.0,2.901,1757.796,1504.103,0.217
29,2.0,0.65,4339.0,2.869,1760.072,1504.996,0.215
30,2.0,0.7000000000000001,4339.0,2.862,1755.964,1502.946,0.219
31,2.0,0.7500000000000001,4339.0,2.906,1756.632,1502.632,0.218
32,2.0,0.8000000000000002,4339.0,2.896,1753.088,1499.273,0.221
33,2.0,0.8500000000000002,4339.0,2.946,1752.916,1498.846,0.222
34,2.0,0.9000000000000002,4339.0,2.923,1752.638,1498.499,0.222
35,2.0,0.9500000000000003,4339.0,2.904,1751.612,1498.354,0.223
36,3.0,0.1,4339.0,1.474,1783.512,1533.947,0.198
37,3.0,0.15000000000000002,4339.0,1.461,1782.423,1531.695,0.199
38,3.0,0.2,4339.0,1.463,1779.269,1529.19,0.202
39,3.0,0.25,4339.0,1.469,1780.842,1529.55,0.201
40,3.0,0.3,4339.0,1.458,1779.128,1527.453,0.202
41,3.0,0.35,4339.0,1.465,1777.24,1527.574,0.204
42,3.0,0.39999999999999997,4339.0,1.469,1780.294,1529.717,0.201
43,3.0,0.44999999999999996,4339.0,1.464,1778.704,1528.205,0.203
44,3.0,0.49999999999999994,4339.0,1.47,1775.576,1525.218,0.206
45,3.0,0.5499999999999999,4339.0,1.472,1776.305,1527.479,0.205
46,3.0,0.6,4339.0,1.47,1773.564,1524.623,0.207
47,3.0,0.65,4339.0,1.474,1772.877,1525.221,0.208
48,3.0,0.7000000000000001,4339.0,1.466,1769.463,1520.553,0.211
49,3.0,0.7500000000000001,4339.0,1.467,1768.131,1518.963,0.212
50,3.0,0.8000000000000002,4339.0,1.47,1768.671,1520.129,0.212
51,3.0,0.8500000000000002,4339.0,1.466,1766.942,1518.114,0.213
52,3.0,0.9000000000000002,4339.0,1.464,1766.551,1518.978,0.214
53,3.0,0.9500000000000003,4339.0,1.468,1766.741,1519.393,0.213
54,4.0,0.1,4338.0,2.526,1807.881,1548.134,0.178
55,4.0,0.15000000000000002,4338.0,2.54,1806.961,1547.141,0.179
56,4.0,0.2,4338.0,2.543,1806.676,1547.283,0.179
57,4.0,0.25,4338.0,2.532,1803.706,1543.885,0.182
58,4.0,0.3,4338.0,2.506,1802.982,1545.003,0.183
59,4.0,0.35,4338.0,2.524,1798.718,1541.321,0.187
