,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,4339.0,1.777,1783.9,1520.069,0.19
1,1.0,0.15000000000000002,4339.0,1.764,1777.512,1514.617,0.195
2,1.0,0.2,4339.0,1.778,1772.78,1512.502,0.2
3,1.0,0.25,4339.0,1.755,1767.482,1507.477,0.205
4,1.0,0.3,4339.0,1.766,1766.625,1507.987,0.205
5,1.0,0.35,4339.0,1.763,1765.857,1507.046,0.206
6,1.0,0.39999999999999997,4339.0,1.766,1765.156,1507.612,0.207
7,1.0,0.44999999999999996,4339.0,1.776,1765.574,1507.051,0.206
8,1.0,0.49999999999999994,4339.0,1.764,1761.452,1503.564,0.21
9,1.0,0.5499999999999999,4339.0,1.774,1759.905,1503.032,0.211
10,1.0,0.6,4339.0,1.759,1756.461,1500.628,0.214
11,1.0,0.65,4339.0,1.775,1757.021,1500.441,0.214
12,1.0,0.7000000000000001,4339.0,1.751,1755.199,1499.941,0.216
13,1.0,0.7500000000000001,4339.0,1.751,1753.477,1496.516,0.217
14,1.0,0.8000000000000002,4339.0,1.757,1750.06,1494.859,0.22
15,1.0,0.8500000000000002,4339.0,1.756,1750.934,1494.328,0.219
16,1.0,0.9000000000000002,4339.0,1.75,1748.233,1492.769,0.222
17,1.0,0.9500000000000003,4339.0,1.745,1746.496,1491.08,0.223
18,2.0,0.1,4339.0,3.083,1778.969,1526.133,0.198
19,2.0,0.15000000000000002,4339.0,3.07,1772.308,1518.178,0.204
20,2.0,0.2,4339.0,3.061,1768.166,1516.142,0.208
21,2.0,0.25,4339.0,3.042,1768.552,1516.913,0.208
22,2.0,0.3,4339.0,3.047,1768.327,1516.498,0.208
23,2.0,0.35,4339.0,3.019,1767.485,1514.034,0.209
24,2.0,0.39999999999999997,4339.0,3.049,1763.834,1514.132,0.212
25,2.0,0.44999999999999996,4339.0,3.006,1762.902,1510.524,0.213
26,2.0,0.49999999999999994,4339.0,3.034,1761.64,1510.08,0.214
27,2.0,0.5499999999999999,4339.0,2.999,1759.414,1507.618,0.216
28,2.0,0.6,4339.0,3.043,1759.489,1510.119,0.216
29,2.0,0.65,4339.0,3.026,1754.873,1503.454,0.22
30,2.0,0.7000000000000001,4339.0,3.015,1755.509,1504.843,0.219
31,2.0,0.7500000000000001,4339.0,2.98,1750.689,1498.742,0.224
32,2.0,0.8000000000000002,4339.0,3.074,1748.711,1496.109,0.225
33,2.0,0.8500000000000002,4339.0,3.046,1750.065,1495.775,0.224
34,2.0,0.9000000000000002,4339.0,3.13,1750.042,1496.437,0.224
35,2.0,0.9500000000000003,4339.0,3.152,1749.315,1497.141,0.225
36,3.0,0.1,4339.0,1.476,1788.461,1535.858,0.194
37,3.0,0.15000000000000002,4339.0,1.469,1783.771,1533.498,0.198
38,3.0,0.2,4339.0,1.456,1787.581,1535.271,0.195
39,3.0,0.25,4339.0,1.449,1783.109,1530.827,0.199
40,3.0,0.3,4339.0,1.443,1779.82,1529.084,0.202
41,3.0,0.35,4339.0,1.437,1776.729,1526.752,0.205
42,3.0,0.39999999999999997,4339.0,1.443,1774.196,1523.123,0.207
43,3.0,0.44999999999999996,4339.0,1.44,1773.881,1521.922,0.207
44,3.0,0.49999999999999994,4339.0,1.452,1775.059,1526.895,0.206
45,3.0,0.5499999999999999,4339.0,1.45,1776.227,1527.625,0.205
46,3.0,0.6,4339.0,1.455,1777.198,1529.48,0.204
47,3.0,0.65,4339.0,1.449,1775.384,1527.039,0.206
48,3.0,0.7000000000000001,4339.0,1.456,1773.464,1525.373,0.207
49,3.0,0.7500000000000001,4339.0,1.457,1772.897,1523.658,0.208
50,3.0,0.8000000000000002,4339.0,1.458,1770.805,1522.314,0.21
51,3.0,0.8500000000000002,4339.0,1.46,1770.448,1521.359,0.21
52,3.0,0.9000000000000002,4339.0,1.457,1766.762,1518.943,0.213
53,3.0,0.9500000000000003,4339.0,1.458,1767.187,1519.359,0.213
54,4.0,0.1,4338.0,2.527,1807.134,1555.61,0.179
55,4.0,0.15000000000000002,4338.0,2.488,1801.709,1548.687,0.184
56,4.0,0.2,4338.0,2.486,1801.109,1546.729,0.184
57,4.0,0.25,4338.0,2.492,1802.663,1548.216,0.183
58,4.0,0.3,4338.0,2.487,1802.769,1548.568,0.183
59,4.0,0.35,4338.0,2.505,1802.504,1547.638,0.183
60,4.0,0.39999999999999997,4338.0,2.499,1803.892,1547.754,0.182
61,4.0,0.44999999999999996,4338.0,2.527,1800.604,1544.801,0.185
62,4.0,0.49999999999999994,4338.0,2.515,1796.937,1544.192,0.188
63,4.0,0.5499999999999999,4338.0,2.533,1796.084,1543.159,0.189
64,4.0,0.6,4338.0,2.52,1794.997,1541.775,0.19
65,4.0,0.65,4338.0,2.549,1794.661,1541.018,0.19
66,4.0,0.7000000000000001,4338.0,2.516,1790.337,1536.248,0.194
67,4.0,0.7500000000000001,4338.0,2.545,1783.341,1530.513,0.2
68,4.0,0.8000000000000002,4338.0,2.548,1782.185,1528.652,0.201
69,4.0,0.8500000000000002,4338.0,2.557,1781.095,1527.774,0.202
70,4.0,0.9000000000000002,4338.0,2.558,1779.372,1525.698,0.204
71,4.0,0.9500000000000003,4338.0,2.535,1778.568,1525.875,0.205
72,5.0,0.1,4338.0,4400980086826183.0,1803.509,1547.075,0.18
73,5.0,0.15000000000000002,4338.0,4402403213184807.0,1797.119,1541.754,0.186
74,5.0,0.2,4338.0,4372739296086777.0,1795.573,1541.404,0.187
75,5.0,0.25,4338.0,4434543031981180.0,1794.276,1539.645,0.189
76,5.0,0.3,4338.0,4376545546510296.5,1794.419,1541.156,0.188
77,5.0,0.35,4338.0,4399592295787304.0,1795.753,1543.413,0.187
78,5.0,0.39999999999999997,4338.0,4371550669855659.5,1792.57,1540.965,0.19
79,5.0,0.44999999999999996,4338.0,4278460362362609.0,1791.821,1540.553,0.191
80,5.0,0.49999999999999994,4338.0,4405262638435527.0,1791.491,1538.817,0.191
81,5.0,0.5499999999999999,4338.0,4378796628450749.0,1786.285,1536.88,0.196
82,5.0,0.6,4338.0,4352208207143284.0,1784.032,1534.289,0.198
83,5.0,0.65,4338.0,4261469354382535.0,1781.334,1532.014,0.2
84,5.0,0.7000000000000001,4338.0,4310228404309446.5,1778.707,1529.585,0.203
85,5.0,0.7500000000000001,4338.0,4286088772247293.5,1778.353,1527.253,0.203
86,5.0,0.8000000000000002,4338.0,4361847022627350.5,1779.079,1527.274,0.202
87,5.0,0.8500000000000002,4338.0,4279193499088213.5,1775.747,1525.043,0.205
88,5.0,0.9000000000000002,4338.0,4268891008635108.5,1775.666,1526.047,0.205
89,5.0,0.9500000000000003,4338.0,4235710156586902.5,1776.839,1527.125,0.204
90,6.0,0.1,4338.0,2.17,1820.777,1560.214,0.163
91,6.0,0.15000000000000002,4338.0,2.186,1817.955,1560.066,0.166
92,6.0,0.2,4338.0,2.182,1810.986,1553.723,0.172
93,6.0,0.25,4338.0,2.19,1810.331,1554.18,0.172
94,6.0,0.3,4338.0,2.162,1809.445,1553.723,0.173
95,6.0,0.35,4338.0,2.172,1803.876,1548.115,0.178
96,6.0,0.39999999999999997,4338.0,2.208,1804.969,1549.685,0.177
97,6.0,0.44999999999999996,4338.0,2.199,1805.712,1551.722,0.177
98,6.0,0.49999999999999994,4338.0,2.212,1803.028,1548.416,0.179
99,6.0,0.5499999999999999,4338.0,2.168,1798.762,1546.957,0.183
100,6.0,0.6,4338.0,2.166,1798.99,1546.427,0.183
101,6.0,0.65,4338.0,2.178,1797.442,1544.351,0.184
102,6.0,0.7000000000000001,4338.0,2.156,1792.566,1541.029,0.189
103,6.0,0.7500000000000001,4338.0,2.152,1791.286,1539.606,0.19
104,6.0,0.8000000000000002,4338.0,2.178,1788.625,1537.251,0.192
105,6.0,0.8500000000000002,4338.0,2.198,1788.123,1537.244,0.193
106,6.0,0.9000000000000002,4338.0,2.188,1788.362,1536.741,0.192
107,6.0,0.9500000000000003,4338.0,2.165,1786.562,1537.241,0.194
108,7.0,0.1,4338.0,2.615,1793.943,1542.545,0.185
