,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,4339.0,1.813,1782.936,1525.745,0.191
1,1.0,0.15000000000000002,4339.0,1.795,1777.283,1518.658,0.196
2,1.0,0.2,4339.0,1.796,1772.656,1515.846,0.2
3,1.0,0.25,4339.0,1.791,1770.645,1515.438,0.202
4,1.0,0.3,4339.0,1.785,1768.343,1510.792,0.204
5,1.0,0.35,4339.0,1.782,1765.752,1509.217,0.206
6,1.0,0.39999999999999997,4339.0,1.776,1760.559,1505.639,0.211
7,1.0,0.44999999999999996,4339.0,1.792,1757.234,1503.29,0.214
8,1.0,0.49999999999999994,4339.0,1.791,1759.781,1502.805,0.211
9,1.0,0.5499999999999999,4339.0,1.777,1757.807,1503.033,0.213
10,1.0,0.6,4339.0,1.767,1756.391,1501.906,0.214
11,1.0,0.65,4339.0,1.774,1753.798,1499.41,0.217
12,1.0,0.7000000000000001,4339.0,1.78,1754.341,1500.195,0.216
13,1.0,0.7500000000000001,4339.0,1.745,1754.489,1498.683,0.216
14,1.0,0.8000000000000002,4339.0,1.751,1750.93,1495.815,0.219
15,1.0,0.8500000000000002,4339.0,1.747,1749.054,1492.959,0.221
16,1.0,0.9000000000000002,4339.0,1.743,1748.103,1492.648,0.222
17,1.0,0.9500000000000003,4339.0,1.743,1746.798,1491.563,0.223
18,2.0,0.1,4339.0,3.022,1771.968,1510.741,0.205
19,2.0,0.15000000000000002,4339.0,2.973,1767.839,1507.727,0.208
20,2.0,0.2,4339.0,3.014,1767.385,1506.689,0.209
21,2.0,0.25,4339.0,2.94,1765.124,1505.889,0.211
22,2.0,0.3,4339.0,2.999,1765.046,1507.891,0.211
23,2.0,0.35,4339.0,2.981,1763.15,1505.274,0.212
24,2.0,0.39999999999999997,4339.0,3.002,1762.728,1505.795,0.213
25,2.0,0.44999999999999996,4339.0,3.006,1761.81,1505.358,0.214
26,2.0,0.49999999999999994,4339.0,2.982,1760.675,1505.523,0.215
27,2.0,0.5499999999999999,4339.0,2.988,1760.059,1504.639,0.215
28,2.0,0.6,4339.0,2.996,1756.639,1501.508,0.218
29,2.0,0.65,4339.0,2.972,1753.834,1499.581,0.221
30,2.0,0.7000000000000001,4339.0,3.029,1753.918,1499.584,0.221
31,2.0,0.7500000000000001,4339.0,3.049,1754.191,1500.975,0.22
32,2.0,0.8000000000000002,4339.0,2.981,1753.877,1500.271,0.221
33,2.0,0.8500000000000002,4339.0,2.995,1751.751,1498.196,0.223
34,2.0,0.9000000000000002,4339.0,3.001,1750.846,1498.612,0.223
35,2.0,0.9500000000000003,4339.0,3.072,1750.844,1498.579,0.223
36,3.0,0.1,4339.0,1.452,1796.235,1537.572,0.187
37,3.0,0.15000000000000002,4339.0,1.456,1794.21,1536.253,0.189
38,3.0,0.2,4339.0,1.452,1795.382,1538.379,0.188
39,3.0,0.25,4339.0,1.453,1792.528,1535.923,0.19
40,3.0,0.3,4339.0,1.463,1788.174,1533.652,0.194
41,3.0,0.35,4339.0,1.46,1787.102,1533.758,0.195
42,3.0,0.39999999999999997,4339.0,1.459,1787.723,1532.649,0.195
43,3.0,0.44999999999999996,4339.0,1.446,1785.617,1529.812,0.197
44,3.0,0.49999999999999994,4339.0,1.444,1784.32,1528.815,0.198
45,3.0,0.5499999999999999,4339.0,1.449,1783.691,1529.167,0.198
46,3.0,0.6,4339.0,1.454,1780.23,1528.802,0.201
47,3.0,0.65,4339.0,1.457,1780.596,1528.711,0.201
48,3.0,0.7000000000000001,4339.0,1.452,1778.483,1527.495,0.203
49,3.0,0.7500000000000001,4339.0,1.457,1774.936,1524.968,0.206
50,3.0,0.8000000000000002,4339.0,1.456,1771.993,1521.212,0.209
51,3.0,0.8500000000000002,4339.0,1.455,1769.895,1519.546,0.211
52,3.0,0.9000000000000002,4339.0,1.454,1768.106,1517.446,0.212
53,3.0,0.9500000000000003,4339.0,1.456,1768.893,1518.516,0.212
54,4.0,0.1,4338.0,2.605,1804.451,1548.615,0.181
55,4.0,0.15000000000000002,4338.0,2.607,1804.709,1548.623,0.181
56,4.0,0.2,4338.0,2.614,1801.937,1545.717,0.184
57,4.0,0.25,4338.0,2.615,1802.712,1546.869,0.183
58,4.0,0.3,4338.0,2.6,1801.473,1546.726,0.184
59,4.0,0.35,4338.0,2.622,1795.597,1542.302,0.189
60,4.0,0.39999999999999997,4338.0,2.619,1794.716,1541.413,0.19
61,4.0,0.44999999999999996,4338.0,2.618,1795.181,1542.249,0.19
62,4.0,0.49999999999999994,4338.0,2.628,1795.66,1541.24,0.189
63,4.0,0.5499999999999999,4338.0,2.644,1797.401,1542.39,0.188
64,4.0,0.6,4338.0,2.61,1794.92,1539.703,0.19
65,4.0,0.65,4338.0,2.606,1793.806,1537.917,0.191
66,4.0,0.7000000000000001,4338.0,2.582,1789.784,1536.025,0.195
67,4.0,0.7500000000000001,4338.0,2.57,1788.929,1531.768,0.195
68,4.0,0.8000000000000002,4338.0,2.574,1786.82,1532.456,0.197
69,4.0,0.8500000000000002,4338.0,2.577,1782.314,1528.801,0.201
70,4.0,0.9000000000000002,4338.0,2.562,1781.694,1525.828,0.202
71,4.0,0.9500000000000003,4338.0,2.564,1780.952,1525.044,0.203
72,5.0,0.1,4338.0,4325522748502651.5,1797.932,1543.455,0.185
