,split,queries_ratio,support,mape,rmse,mae,r2
0,1.0,0.1,121.0,0.348,4658.563,2682.95,0.796
1,1.0,0.4,121.0,0.236,4407.955,2131.779,0.817
2,1.0,0.7,121.0,0.304,4345.673,2363.19,0.822
3,1.0,1.0,121.0,0.343,4395.469,2536.983,0.818
4,2.0,0.1,121.0,0.67,6594.907,4544.416,0.743
5,2.0,0.4,121.0,0.298,4603.421,2532.747,0.875
6,2.0,0.7,121.0,0.255,4451.21,2389.321,0.883
7,2.0,1.0,121.0,0.252,4348.927,2222.343,0.888
8,3.0,0.1,121.0,0.466,5178.362,3266.842,0.812
9,3.0,0.4,121.0,0.359,4499.031,2685.357,0.858
10,3.0,0.7,121.0,0.309,4414.399,2318.745,0.863
11,3.0,1.0,121.0,0.321,4589.465,2493.334,0.852
12,4.0,0.1,121.0,0.32,4511.156,2902.323,0.808
13,4.0,0.4,121.0,0.231,3740.026,2030.874,0.868
14,4.0,0.7,121.0,0.232,3712.557,2136.361,0.87
15,4.0,1.0,121.0,0.281,3520.307,2246.245,0.883
16,5.0,0.1,120.0,0.443,5998.523,3037.685,0.663
17,5.0,0.4,120.0,0.329,4909.506,2479.659,0.775
18,5.0,0.7,120.0,0.404,4884.93,2507.108,0.777
19,5.0,1.0,120.0,0.413,5017.841,2650.741,0.765
20,6.0,0.1,120.0,0.387,5874.94,3376.531,0.736
21,6.0,0.4,120.0,0.356,5418.725,3148.321,0.775
22,6.0,0.7,120.0,0.31,5504.045,3037.859,0.768
23,6.0,1.0,120.0,0.293,5408.287,3036.256,0.776
24,7.0,0.1,120.0,0.345,5936.488,3830.804,0.797
25,7.0,0.4,120.0,0.223,4242.487,2212.287,0.896
26,7.0,0.7,120.0,0.186,4147.575,1970.009,0.901
27,7.0,1.0,120.0,0.202,4107.379,2137.223,0.903
28,8.0,0.1,120.0,0.362,6610.592,4028.04,0.688
29,8.0,0.4,120.0,0.232,4344.899,2251.023,0.865
30,8.0,0.7,120.0,0.266,4338.869,2376.596,0.865
31,8.0,1.0,120.0,0.285,4313.518,2446.879,0.867
32,9.0,0.1,120.0,0.459,7002.223,4537.031,0.623
33,9.0,0.4,120.0,0.273,6155.649,3375.372,0.709
34,9.0,0.7,120.0,0.261,6273.276,3393.435,0.698
35,9.0,1.0,120.0,0.263,5884.402,3116.917,0.734
36,10.0,0.1,120.0,0.239,6320.892,3249.476,0.781
37,10.0,0.4,120.0,0.243,5662.311,2540.95,0.824
38,10.0,0.7,120.0,0.254,5628.418,2662.622,0.826
39,10.0,1.0,120.0,0.284,5786.288,2830.052,0.816
